Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.1076
5,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.588
10,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.6702
15,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.6951
20,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.7217
25,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.7391
30,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.7546
35,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.764
40,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.7776
45,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.7804
50,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.7962
55,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8031
60,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.811
65,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8133
70,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8178
75,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8295
80,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8339
85,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8425
90,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8437
95,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8503
100,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8555
105,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8559
110,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8578
115,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8607
120,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8642
125,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8624
130,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.864
135,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8663
140,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8692
145,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8702
150,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8714
155,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8735
160,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.875
165,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8751
170,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8759
175,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8778
180,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.879
185,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8802
190,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8802
195,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8802
200,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8816
205,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.882
210,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8831
215,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8831
220,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8844
225,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8831
230,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8838
235,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8838
240,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8833
245,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.885
250,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8849
255,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8844
260,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.885
265,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8881
270,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8872
275,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8889
280,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8862
285,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8877
290,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8899
295,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8908
300,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8905
305,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8906
310,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8905
315,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8916
320,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8904
325,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8916
330,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8929
335,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8926
340,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8927
345,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8919
350,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8924
355,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8933
360,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8936
365,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8935
370,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8922
375,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8939
380,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8945
385,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8941
390,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8943
395,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.894
400,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8938
405,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8934
410,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8949
415,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8939
420,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8947
425,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8957
430,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8943
435,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8964
440,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8968
445,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.897
450,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8962
455,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8973
460,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.897
465,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8954
470,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8969
475,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.898
480,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.898
485,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.898
490,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.898
495,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8978
500,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8981
505,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8981
510,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8994
515,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8978
520,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8983
525,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9003
530,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8997
535,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9001
540,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8989
545,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8994
550,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9
555,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9004
560,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8995
565,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8997
570,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9001
575,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9006
580,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8997
585,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9004
590,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9
595,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9006
600,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8995
605,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8998
610,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9002
615,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9001
620,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8999
625,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9005
630,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8996
635,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9005
640,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8995
645,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8988
650,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8993
655,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8991
660,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8998
665,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9009
670,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8996
675,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8996
680,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8998
685,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8997
690,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9
695,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9006
700,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8995
705,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8999
710,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9001
715,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9006
720,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8995
725,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9003
730,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8997
735,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8991
740,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9011
745,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9008
750,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.8992
755,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9002
760,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9014
765,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9006
770,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9016
775,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9013
780,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9015
785,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.901
790,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9006
795,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9008
800,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9017
805,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9007
810,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9019
815,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9018
820,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9017
825,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9015
830,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9025
835,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9026
840,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9019
845,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9026
850,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9018
855,grid,ldp,5,0.1,0.001359454171158795,0,0.1,0.9013
