Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,5,10,0.10998174679018528,0,1,0.1076
5,grid,ldp,5,10,0.10998174679018528,0,1,0.418
10,grid,ldp,5,10,0.10998174679018528,0,1,0.6335
15,grid,ldp,5,10,0.10998174679018528,0,1,0.6792
20,grid,ldp,5,10,0.10998174679018528,0,1,0.7162
25,grid,ldp,5,10,0.10998174679018528,0,1,0.7333
30,grid,ldp,5,10,0.10998174679018528,0,1,0.7425
35,grid,ldp,5,10,0.10998174679018528,0,1,0.762
40,grid,ldp,5,10,0.10998174679018528,0,1,0.7686
45,grid,ldp,5,10,0.10998174679018528,0,1,0.7691
50,grid,ldp,5,10,0.10998174679018528,0,1,0.767
55,grid,ldp,5,10,0.10998174679018528,0,1,0.7647
60,grid,ldp,5,10,0.10998174679018528,0,1,0.773
65,grid,ldp,5,10,0.10998174679018528,0,1,0.783
70,grid,ldp,5,10,0.10998174679018528,0,1,0.7915
75,grid,ldp,5,10,0.10998174679018528,0,1,0.788
80,grid,ldp,5,10,0.10998174679018528,0,1,0.7952
85,grid,ldp,5,10,0.10998174679018528,0,1,0.8023
90,grid,ldp,5,10,0.10998174679018528,0,1,0.798
95,grid,ldp,5,10,0.10998174679018528,0,1,0.808
100,grid,ldp,5,10,0.10998174679018528,0,1,0.8078
105,grid,ldp,5,10,0.10998174679018528,0,1,0.8059
110,grid,ldp,5,10,0.10998174679018528,0,1,0.8107
115,grid,ldp,5,10,0.10998174679018528,0,1,0.8093
120,grid,ldp,5,10,0.10998174679018528,0,1,0.8016
125,grid,ldp,5,10,0.10998174679018528,0,1,0.8032
130,grid,ldp,5,10,0.10998174679018528,0,1,0.8149
135,grid,ldp,5,10,0.10998174679018528,0,1,0.8005
140,grid,ldp,5,10,0.10998174679018528,0,1,0.8045
145,grid,ldp,5,10,0.10998174679018528,0,1,0.82
150,grid,ldp,5,10,0.10998174679018528,0,1,0.812
155,grid,ldp,5,10,0.10998174679018528,0,1,0.8102
160,grid,ldp,5,10,0.10998174679018528,0,1,0.8177
165,grid,ldp,5,10,0.10998174679018528,0,1,0.8088
170,grid,ldp,5,10,0.10998174679018528,0,1,0.8113
175,grid,ldp,5,10,0.10998174679018528,0,1,0.8079
180,grid,ldp,5,10,0.10998174679018528,0,1,0.8011
185,grid,ldp,5,10,0.10998174679018528,0,1,0.8059
190,grid,ldp,5,10,0.10998174679018528,0,1,0.8104
195,grid,ldp,5,10,0.10998174679018528,0,1,0.813
200,grid,ldp,5,10,0.10998174679018528,0,1,0.8225
205,grid,ldp,5,10,0.10998174679018528,0,1,0.8217
210,grid,ldp,5,10,0.10998174679018528,0,1,0.8251
215,grid,ldp,5,10,0.10998174679018528,0,1,0.8208
220,grid,ldp,5,10,0.10998174679018528,0,1,0.8245
225,grid,ldp,5,10,0.10998174679018528,0,1,0.8193
230,grid,ldp,5,10,0.10998174679018528,0,1,0.824
235,grid,ldp,5,10,0.10998174679018528,0,1,0.8226
240,grid,ldp,5,10,0.10998174679018528,0,1,0.8269
245,grid,ldp,5,10,0.10998174679018528,0,1,0.8269
250,grid,ldp,5,10,0.10998174679018528,0,1,0.8268
255,grid,ldp,5,10,0.10998174679018528,0,1,0.8256
260,grid,ldp,5,10,0.10998174679018528,0,1,0.8274
265,grid,ldp,5,10,0.10998174679018528,0,1,0.8228
270,grid,ldp,5,10,0.10998174679018528,0,1,0.8202
275,grid,ldp,5,10,0.10998174679018528,0,1,0.8217
280,grid,ldp,5,10,0.10998174679018528,0,1,0.8168
285,grid,ldp,5,10,0.10998174679018528,0,1,0.8178
290,grid,ldp,5,10,0.10998174679018528,0,1,0.8163
295,grid,ldp,5,10,0.10998174679018528,0,1,0.8176
300,grid,ldp,5,10,0.10998174679018528,0,1,0.8169
305,grid,ldp,5,10,0.10998174679018528,0,1,0.813
310,grid,ldp,5,10,0.10998174679018528,0,1,0.8125
315,grid,ldp,5,10,0.10998174679018528,0,1,0.8233
