Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.1076
5,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.477
10,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.5282
15,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.5568
20,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.5814
25,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6079
30,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6321
35,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.644
40,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6563
45,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6666
50,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6718
55,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6804
60,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6814
65,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6856
70,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6909
75,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6954
80,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.6981
85,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7018
90,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7032
95,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7074
100,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7152
105,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7189
110,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7205
115,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7235
120,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7218
125,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7238
130,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.723
135,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.727
140,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7299
145,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7318
150,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7382
155,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7417
160,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7489
165,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7527
170,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7525
175,grid,ldp,1,0.1,0.0009589256130564035,0,3,0.7525
