Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.1076
5,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.1529
10,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.1653
15,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.1771
20,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.191
25,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.2046
30,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.2194
35,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.2375
40,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.2512
45,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.2669
50,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.2847
55,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.2993
60,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.3142
65,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.3293
70,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.342
75,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.3545
80,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.3663
85,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.3772
90,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.3883
95,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.3988
100,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4099
105,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4198
110,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4296
115,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4417
120,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4492
125,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4592
130,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4672
135,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4746
140,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4816
145,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4889
150,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.4962
155,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5037
160,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5106
165,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5165
170,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5217
175,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.527
180,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5335
185,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5377
190,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5428
195,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.547
200,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5496
205,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5543
210,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5593
215,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5651
220,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5689
225,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.572
230,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5755
235,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5795
240,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5829
245,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5855
250,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5881
255,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5913
260,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5938
265,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5971
270,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.5991
275,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6018
280,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6031
285,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6053
290,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6071
295,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6095
300,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.611
305,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6134
310,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.615
315,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6167
320,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6195
325,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6206
330,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6227
335,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6249
340,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6259
345,grid,ldp,0.1,0.1,0.0008816823572213105,0,5,0.6273
