,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0008816823572213105,0,1000,0.6657
1,grid,0.05,1.0,0.008816823572213105,0,1000,0.8669
2,grid,0.05,10.0,0.08816823572213105,0,1000,0.9076
3,grid,0.1,0.1,0.0008816823572213105,0,1000,0.7086
4,grid,0.1,1.0,0.008816823572213105,0,1000,0.8897
5,grid,0.1,10.0,0.08816823572213105,0,1000,0.9065
6,grid,0.5,0.1,0.0008816823572213105,0,1000,0.8538
7,grid,0.5,1.0,0.008816823572213105,0,1000,0.9079
8,grid,0.5,10.0,0.08816823572213105,0,1000,0.8644
9,grid,1.0,0.1,0.0008816823572213105,0,1000,0.8841
10,grid,1.0,1.0,0.008816823572213105,0,1000,0.9106
11,grid,1.0,10.0,0.08816823572213105,0,1000,0.8517
12,grid,5.0,0.1,0.0008816823572213105,0,1000,0.9066
13,grid,5.0,1.0,0.008816823572213105,0,1000,0.8732
14,grid,5.0,10.0,0.08816823572213105,0,1000,0.8454
