Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.1076
5,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.1533
10,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.1649
15,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.1773
20,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.1904
25,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.2046
30,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.2188
35,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.2374
40,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.2504
45,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.2678
50,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.2841
55,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.2992
60,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.314
65,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.3288
70,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.3417
75,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.3537
80,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.3654
85,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.3768
90,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.3875
95,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.3975
100,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4092
105,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4199
110,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4295
115,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.441
120,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4485
125,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4582
130,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4672
135,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4738
140,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4804
145,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.4872
150,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.495
155,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5028
160,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5094
165,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.516
170,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5216
175,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5276
180,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5338
185,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5372
190,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5432
195,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5464
200,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5487
205,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5535
210,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.558
215,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.564
220,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.569
225,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5726
230,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.576
235,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5789
240,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.582
245,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5856
250,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5871
255,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5903
260,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5936
265,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5964
270,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.5993
275,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.602
280,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6032
285,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6055
290,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6069
295,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6088
300,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6106
305,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6125
310,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6147
315,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6159
320,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6185
325,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6201
330,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6221
335,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6245
340,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.626
345,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6266
350,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.629
355,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6313
360,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6333
365,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.634
370,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6355
375,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.636
380,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6376
385,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6395
390,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6406
395,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6414
400,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.642
405,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6436
410,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6454
415,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6461
420,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6477
425,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6493
430,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6509
435,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6518
440,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6529
445,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6536
450,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6542
455,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6557
460,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6564
465,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6585
470,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6597
475,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6612
480,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6622
485,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6627
490,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.664
495,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6643
500,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6648
505,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6655
510,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6651
515,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6659
520,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6671
525,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6669
530,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6676
535,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6677
540,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6684
545,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6689
550,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6698
555,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.67
560,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6705
565,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6717
570,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6712
575,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6718
580,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6733
585,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6741
590,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6738
595,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6744
600,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6751
605,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6755
610,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6756
615,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6769
620,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6773
625,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6782
630,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6789
635,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6792
640,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6798
645,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6804
650,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6818
655,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6822
660,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6828
665,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6833
670,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6844
675,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6846
680,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6849
685,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6855
690,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.686
695,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6865
700,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6863
705,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.687
710,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6878
715,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6881
720,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6879
725,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6882
730,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6883
735,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6884
740,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6886
745,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6893
750,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6898
755,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.691
760,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6908
765,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6913
770,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6912
775,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6925
780,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6932
785,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6933
790,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6935
795,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6943
800,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.694
805,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6944
810,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6948
815,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6955
820,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6963
825,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6974
830,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6965
835,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6969
840,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6973
845,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6981
850,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6986
855,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6988
860,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6988
865,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6992
870,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.6997
875,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7
880,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7002
885,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7004
890,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7003
895,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.701
900,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7014
905,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7015
910,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7016
915,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7022
920,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.703
925,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7026
930,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7028
935,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7038
940,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7041
945,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7038
950,ring,ldp,0.1,0.1,0.001176646980129979,0,0.5,0.7044
