Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.1076
5,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.5993
10,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.6781
15,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.7119
20,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.7467
25,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.766
30,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.7817
35,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.7892
40,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8007
45,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8068
50,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8226
55,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8327
60,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8395
65,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8423
70,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8442
75,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.851
80,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8505
85,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8558
90,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8588
95,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8636
100,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8659
105,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8678
110,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8692
115,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8728
120,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8739
125,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8725
130,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8748
135,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8761
140,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8793
145,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.88
150,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8801
155,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8825
160,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8837
165,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8845
170,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8854
175,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8853
180,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8863
185,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8858
190,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8858
195,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8881
200,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8883
205,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8871
210,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8886
215,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.889
220,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8895
225,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8896
230,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8894
235,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8893
240,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8888
245,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8887
250,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.889
255,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8897
260,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8904
265,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8912
270,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8922
275,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8926
280,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8919
285,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8916
290,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8929
295,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8941
300,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8936
305,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8936
310,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8948
315,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8946
320,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8945
325,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8962
330,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8961
335,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8958
340,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8963
345,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8955
350,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8961
355,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8954
360,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8976
365,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8976
370,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8973
375,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8971
380,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8971
385,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.898
390,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.899
395,ring,ldp,0.5,1.0,0.011044277232518015,0,1,0.8982
