Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,1,10,0.06588543618072275,0,15,0.1076
5,ring,ldp,1,10,0.06588543618072275,0,15,0.6313
10,ring,ldp,1,10,0.06588543618072275,0,15,0.7519
15,ring,ldp,1,10,0.06588543618072275,0,15,0.7636
20,ring,ldp,1,10,0.06588543618072275,0,15,0.786
25,ring,ldp,1,10,0.06588543618072275,0,15,0.8198
30,ring,ldp,1,10,0.06588543618072275,0,15,0.818
35,ring,ldp,1,10,0.06588543618072275,0,15,0.8327
40,ring,ldp,1,10,0.06588543618072275,0,15,0.8348
45,ring,ldp,1,10,0.06588543618072275,0,15,0.8425
50,ring,ldp,1,10,0.06588543618072275,0,15,0.8203
55,ring,ldp,1,10,0.06588543618072275,0,15,0.8358
60,ring,ldp,1,10,0.06588543618072275,0,15,0.8491
65,ring,ldp,1,10,0.06588543618072275,0,15,0.8521
70,ring,ldp,1,10,0.06588543618072275,0,15,0.8561
75,ring,ldp,1,10,0.06588543618072275,0,15,0.8488
80,ring,ldp,1,10,0.06588543618072275,0,15,0.8579
85,ring,ldp,1,10,0.06588543618072275,0,15,0.8596
90,ring,ldp,1,10,0.06588543618072275,0,15,0.8623
95,ring,ldp,1,10,0.06588543618072275,0,15,0.864
100,ring,ldp,1,10,0.06588543618072275,0,15,0.8614
105,ring,ldp,1,10,0.06588543618072275,0,15,0.8619
110,ring,ldp,1,10,0.06588543618072275,0,15,0.8646
115,ring,ldp,1,10,0.06588543618072275,0,15,0.8646
120,ring,ldp,1,10,0.06588543618072275,0,15,0.8678
125,ring,ldp,1,10,0.06588543618072275,0,15,0.8657
130,ring,ldp,1,10,0.06588543618072275,0,15,0.8634
135,ring,ldp,1,10,0.06588543618072275,0,15,0.862
140,ring,ldp,1,10,0.06588543618072275,0,15,0.865
145,ring,ldp,1,10,0.06588543618072275,0,15,0.8701
150,ring,ldp,1,10,0.06588543618072275,0,15,0.8669
155,ring,ldp,1,10,0.06588543618072275,0,15,0.8629
160,ring,ldp,1,10,0.06588543618072275,0,15,0.8691
165,ring,ldp,1,10,0.06588543618072275,0,15,0.8663
170,ring,ldp,1,10,0.06588543618072275,0,15,0.8696
175,ring,ldp,1,10,0.06588543618072275,0,15,0.866
180,ring,ldp,1,10,0.06588543618072275,0,15,0.8666
185,ring,ldp,1,10,0.06588543618072275,0,15,0.868
190,ring,ldp,1,10,0.06588543618072275,0,15,0.8694
195,ring,ldp,1,10,0.06588543618072275,0,15,0.8722
200,ring,ldp,1,10,0.06588543618072275,0,15,0.875
205,ring,ldp,1,10,0.06588543618072275,0,15,0.8757
210,ring,ldp,1,10,0.06588543618072275,0,15,0.8728
215,ring,ldp,1,10,0.06588543618072275,0,15,0.8743
220,ring,ldp,1,10,0.06588543618072275,0,15,0.8739
225,ring,ldp,1,10,0.06588543618072275,0,15,0.8715
