,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.0009645953393959156,0,1000,0.666
3,ring,0.1,0.1,0.0009645953393959156,0,1000,0.7088
6,ring,0.5,0.1,0.0009645953393959156,0,1000,0.8537
14,ring,5.0,10.0,0.09645953393959157,0,1000,0.8553
11,ring,1.0,10.0,0.09645953393959157,0,1000,0.8591
1,ring,0.05,1.0,0.009645953393959157,0,1000,0.867
8,ring,0.5,10.0,0.09645953393959157,0,1000,0.8693
13,ring,5.0,1.0,0.009645953393959157,0,1000,0.8769
9,ring,1.0,0.1,0.0009645953393959156,0,1000,0.884
4,ring,0.1,1.0,0.009645953393959157,0,1000,0.8894
5,ring,0.1,10.0,0.09645953393959157,0,1000,0.9061
12,ring,5.0,0.1,0.0009645953393959156,0,1000,0.9061
2,ring,0.05,10.0,0.09645953393959157,0,1000,0.9071
7,ring,0.5,1.0,0.009645953393959157,0,1000,0.9075
10,ring,1.0,1.0,0.009645953393959157,0,1000,0.9088
