Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.1076
5,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.48
10,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.5291
15,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.5586
20,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.5821
25,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6081
30,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6324
35,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6442
40,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6569
45,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6675
50,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6724
55,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6811
60,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6817
65,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6852
70,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6913
75,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6958
80,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.6987
85,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7017
90,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7034
95,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7078
100,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7152
105,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7188
110,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7208
115,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7235
120,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7216
125,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7244
130,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7233
135,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7267
140,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7304
145,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7316
150,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7379
155,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7413
160,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7488
165,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7519
170,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7526
175,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7524
180,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7546
185,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7578
190,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7606
195,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.76
200,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7615
205,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7678
210,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7705
215,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7721
220,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7748
225,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7783
230,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7829
235,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7866
240,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.789
245,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7921
250,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7905
255,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7942
260,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7954
265,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7957
270,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.798
275,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7995
280,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8007
285,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.7987
290,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8003
295,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.802
300,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8053
305,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8082
310,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8094
315,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8112
320,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8112
325,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8134
330,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8172
335,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8175
340,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8181
345,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.82
350,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8217
355,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8218
360,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8241
365,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8256
370,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8257
375,ring,ldp,1,0.1,0.0008849853530629944,0,5,0.8266
