Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.1076
5,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.4359
10,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.6526
15,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.6984
20,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7029
25,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7493
30,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7477
35,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7733
40,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7732
45,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7713
50,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7537
55,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7614
60,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7762
65,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7836
70,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7986
75,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7957
80,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.7999
85,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8088
90,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8039
95,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.807
100,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8128
105,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8057
110,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8078
115,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8002
120,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8108
125,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8015
130,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8195
135,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8118
140,centralized,cdp,5,10,0.0929554830847687,0,0.001,0.8109
