Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.1076
5,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.7623
10,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.799
15,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8264
20,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8401
25,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8534
30,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8671
35,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8697
40,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8725
45,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8768
50,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8781
55,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8817
60,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8844
65,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.883
70,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8858
75,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8877
80,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8877
85,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8894
90,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8896
95,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8918
100,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8937
105,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8928
110,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8943
115,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8947
120,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8949
125,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8954
130,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8966
135,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8981
140,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8982
145,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.8987
150,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.899
155,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9001
160,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9005
165,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9007
170,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9013
175,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9012
180,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9004
185,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9014
190,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9019
195,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9016
200,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.903
205,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9024
210,centralized,cdp,0.1,10,0.03391593027152529,0,0.1,0.9043
