Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1076
5,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1078
10,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1078
15,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1078
20,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1078
25,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.108
30,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.108
35,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1083
40,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1084
45,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1085
50,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1085
55,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1088
60,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.109
65,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.109
70,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1091
75,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1093
80,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1093
85,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1094
90,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1093
95,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1096
100,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1097
105,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1097
110,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1098
115,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.11
120,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1101
125,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1103
130,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1105
135,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1109
140,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1109
145,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1112
150,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1112
155,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1113
160,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1113
165,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1116
170,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1118
175,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1119
180,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1119
185,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.112
190,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.112
195,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1121
200,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1121
205,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1122
210,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1122
215,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1123
220,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1124
225,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1125
230,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1127
235,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1127
240,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.113
245,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.113
250,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1132
255,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1132
260,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1135
265,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1135
270,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1135
275,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1136
280,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1136
285,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1136
290,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1136
295,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1137
300,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1138
305,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1138
310,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.1139
315,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.114
320,centralized,cdp,0.01,0.01,2.9373384282130783e-05,0,0.5,0.114
