Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.1076
5,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.1527
10,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.1654
15,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.1763
20,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.1907
25,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.2055
30,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.2201
35,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.2375
40,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.2523
45,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.2685
50,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.2864
55,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3013
60,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3158
65,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3299
70,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3433
75,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3568
80,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3671
85,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3787
90,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3908
95,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.3997
100,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4106
105,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4211
110,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4319
115,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4421
120,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4527
125,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4603
130,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4679
135,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4755
140,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4852
145,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4906
150,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.4979
155,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5058
160,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5115
165,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5175
170,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5213
175,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5268
180,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5334
185,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5387
190,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5436
195,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.548
200,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5518
205,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5557
210,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5611
215,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5649
220,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5691
225,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5725
230,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5767
235,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.581
240,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.5845
245,centralized,cdp,1,0.01,2.9373384282130783e-05,0,0.5,0.587
