,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.00029373384282130777,0,3000,0.729225641025641
1,centralized,0.05,1.0,0.0029373384282130786,0,3000,0.8967615384615383
2,centralized,0.05,10.0,0.02937338428213078,0,3000,0.9239948717948716
3,centralized,0.1,0.1,0.00029373384282130777,0,3000,0.8014410256410256
4,centralized,0.1,1.0,0.0029373384282130786,0,3000,0.9056410256410257
5,centralized,0.1,10.0,0.02937338428213078,0,3000,0.9283538461538464
6,centralized,0.5,0.1,0.00029373384282130777,0,3000,0.8937769230769231
7,centralized,0.5,1.0,0.0029373384282130786,0,3000,0.9237692307692308
8,centralized,0.5,10.0,0.02937338428213078,0,3000,0.9154897435897437
9,centralized,1.0,0.1,0.00029373384282130777,0,3000,0.9034358974358978
10,centralized,1.0,1.0,0.0029373384282130786,0,3000,0.9279333333333335
11,centralized,1.0,10.0,0.02937338428213078,0,3000,0.8977461538461537
12,centralized,5.0,0.1,0.00029373384282130777,0,3000,0.9225615384615384
13,centralized,5.0,1.0,0.0029373384282130786,0,3000,0.9241102564102562
14,centralized,5.0,10.0,0.02937338428213078,0,3000,0.8826435897435897
