Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.1076
5,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.6294
10,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.6859
15,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.7189
20,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.7519
25,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.7717
30,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.7888
35,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.7982
40,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8111
45,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8208
50,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8358
55,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8434
60,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8478
65,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8489
70,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8533
75,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8579
80,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8588
85,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8637
90,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.865
95,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8695
100,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8721
105,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8739
110,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.874
115,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.878
120,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8788
125,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8784
130,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8798
135,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8815
140,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8825
145,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8836
150,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8856
155,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8864
160,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.887
165,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8882
170,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8879
175,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8886
180,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.889
185,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8902
190,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.889
195,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8894
200,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8908
205,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8918
210,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8916
215,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8925
220,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.893
225,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8935
230,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8945
235,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8941
240,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8942
245,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8944
250,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8951
255,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8952
260,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8955
265,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8959
270,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8962
275,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8972
280,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8971
285,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8974
290,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8983
295,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8975
300,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8983
305,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8986
310,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8988
315,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8987
320,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.898
325,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8993
330,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9001
335,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8985
340,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8993
345,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8995
350,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8997
355,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.8994
360,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9007
365,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.901
370,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9011
375,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9015
380,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9006
385,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9001
390,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.901
395,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9014
400,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9013
405,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9013
410,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9015
415,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9008
420,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9017
425,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9025
430,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9009
435,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9028
440,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9033
445,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9024
450,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9037
455,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9036
460,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9033
465,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9033
470,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9036
475,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9038
480,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9042
485,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9044
490,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9038
495,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9045
500,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9049
505,centralized,cdp,0.5,1.0,0.0026901037992424384,0,1,0.9047
