Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.1076
5,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.6352
10,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.6988
15,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.7739
20,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.7783
25,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8312
30,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8684
35,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8815
40,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8826
45,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8841
50,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8906
55,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8938
60,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8944
65,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.897
70,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.8986
75,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9042
80,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9025
85,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9055
90,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9056
95,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9098
100,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9092
105,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9099
110,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9105
115,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9102
120,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9085
125,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.909
130,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9118
135,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.914
140,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9138
145,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.915
150,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9147
155,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9158
160,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9166
165,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9176
170,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9183
175,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9189
180,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9176
185,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9193
190,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9189
195,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9201
200,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9198
205,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9203
210,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9202
215,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9201
220,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9203
225,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9206
230,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9218
235,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9211
240,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9219
245,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9202
250,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9222
255,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9219
260,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9218
265,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9212
270,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9207
275,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9223
280,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9216
285,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9222
290,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9236
295,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9238
300,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9221
305,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9244
310,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9226
315,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9242
320,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9233
325,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9252
330,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.926
335,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9237
340,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9237
345,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9247
350,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9235
355,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9261
360,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9244
365,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9255
370,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9264
375,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9255
380,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.926
385,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9259
390,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9265
395,centralized,cdp,0.5,10,0.0177837061947135,0,10,0.9258
