Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.1076
5,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.5024
10,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.5437
15,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.5708
20,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.5941
25,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6148
30,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6359
35,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6474
40,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6595
45,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6691
50,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6758
55,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6824
60,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.684
65,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6873
70,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6936
75,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.6987
80,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7004
85,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7037
90,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7034
95,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.709
100,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7161
105,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.719
110,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7202
115,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7239
120,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.722
125,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7235
130,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7235
135,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7263
140,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7297
145,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7315
150,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7365
155,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7406
160,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7474
165,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7506
170,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7506
175,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7527
180,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.754
185,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7566
190,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7598
195,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7591
200,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7608
205,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7668
210,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7677
215,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7714
220,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7742
225,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7766
230,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7809
235,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7862
240,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7891
245,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7933
250,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7919
255,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7951
260,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7967
265,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7972
270,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.7998
275,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8005
280,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8031
285,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8028
290,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.803
295,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8045
300,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8077
305,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8101
310,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8111
315,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8126
320,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8116
325,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8143
330,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8177
335,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8189
340,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8192
345,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.82
350,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.821
355,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8223
360,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8254
365,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8261
370,centralized,cdp,1,0.1,0.00017783706194713497,0,10,0.8275
