Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,cdp,1,10,0.0177837061947135,0,10,0.1076
5,centralized,cdp,1,10,0.0177837061947135,0,10,0.5828
10,centralized,cdp,1,10,0.0177837061947135,0,10,0.7283
15,centralized,cdp,1,10,0.0177837061947135,0,10,0.8189
20,centralized,cdp,1,10,0.0177837061947135,0,10,0.7362
25,centralized,cdp,1,10,0.0177837061947135,0,10,0.8179
30,centralized,cdp,1,10,0.0177837061947135,0,10,0.8505
35,centralized,cdp,1,10,0.0177837061947135,0,10,0.8588
40,centralized,cdp,1,10,0.0177837061947135,0,10,0.8734
45,centralized,cdp,1,10,0.0177837061947135,0,10,0.8764
50,centralized,cdp,1,10,0.0177837061947135,0,10,0.8848
55,centralized,cdp,1,10,0.0177837061947135,0,10,0.8687
60,centralized,cdp,1,10,0.0177837061947135,0,10,0.8854
65,centralized,cdp,1,10,0.0177837061947135,0,10,0.8931
70,centralized,cdp,1,10,0.0177837061947135,0,10,0.8805
75,centralized,cdp,1,10,0.0177837061947135,0,10,0.8864
80,centralized,cdp,1,10,0.0177837061947135,0,10,0.8917
85,centralized,cdp,1,10,0.0177837061947135,0,10,0.8927
90,centralized,cdp,1,10,0.0177837061947135,0,10,0.8968
95,centralized,cdp,1,10,0.0177837061947135,0,10,0.8619
100,centralized,cdp,1,10,0.0177837061947135,0,10,0.9013
105,centralized,cdp,1,10,0.0177837061947135,0,10,0.903
110,centralized,cdp,1,10,0.0177837061947135,0,10,0.9043
115,centralized,cdp,1,10,0.0177837061947135,0,10,0.8983
120,centralized,cdp,1,10,0.0177837061947135,0,10,0.9027
125,centralized,cdp,1,10,0.0177837061947135,0,10,0.8968
130,centralized,cdp,1,10,0.0177837061947135,0,10,0.9017
135,centralized,cdp,1,10,0.0177837061947135,0,10,0.9049
140,centralized,cdp,1,10,0.0177837061947135,0,10,0.9074
145,centralized,cdp,1,10,0.0177837061947135,0,10,0.9036
150,centralized,cdp,1,10,0.0177837061947135,0,10,0.901
155,centralized,cdp,1,10,0.0177837061947135,0,10,0.8746
160,centralized,cdp,1,10,0.0177837061947135,0,10,0.9034
165,centralized,cdp,1,10,0.0177837061947135,0,10,0.9116
170,centralized,cdp,1,10,0.0177837061947135,0,10,0.9123
175,centralized,cdp,1,10,0.0177837061947135,0,10,0.912
180,centralized,cdp,1,10,0.0177837061947135,0,10,0.9126
185,centralized,cdp,1,10,0.0177837061947135,0,10,0.9074
190,centralized,cdp,1,10,0.0177837061947135,0,10,0.9141
195,centralized,cdp,1,10,0.0177837061947135,0,10,0.9112
200,centralized,cdp,1,10,0.0177837061947135,0,10,0.9139
205,centralized,cdp,1,10,0.0177837061947135,0,10,0.9117
210,centralized,cdp,1,10,0.0177837061947135,0,10,0.9125
215,centralized,cdp,1,10,0.0177837061947135,0,10,0.9124
220,centralized,cdp,1,10,0.0177837061947135,0,10,0.9108
225,centralized,cdp,1,10,0.0177837061947135,0,10,0.912
230,centralized,cdp,1,10,0.0177837061947135,0,10,0.9152
235,centralized,cdp,1,10,0.0177837061947135,0,10,0.9156
240,centralized,cdp,1,10,0.0177837061947135,0,10,0.9142
245,centralized,cdp,1,10,0.0177837061947135,0,10,0.9154
250,centralized,cdp,1,10,0.0177837061947135,0,10,0.9161
255,centralized,cdp,1,10,0.0177837061947135,0,10,0.9122
260,centralized,cdp,1,10,0.0177837061947135,0,10,0.905
265,centralized,cdp,1,10,0.0177837061947135,0,10,0.9121
270,centralized,cdp,1,10,0.0177837061947135,0,10,0.9117
275,centralized,cdp,1,10,0.0177837061947135,0,10,0.9161
280,centralized,cdp,1,10,0.0177837061947135,0,10,0.9175
