,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.0002418974058036566,0,1000,0.6655
3,centralized,0.1,0.1,0.0002418974058036566,0,1000,0.7089
6,centralized,0.5,0.1,0.0002418974058036566,0,1000,0.8539
1,centralized,0.05,1.0,0.002418974058036567,0,1000,0.868
14,centralized,5.0,10.0,0.024189740580365666,0,1000,0.8822
9,centralized,1.0,0.1,0.0002418974058036566,0,1000,0.8858
4,centralized,0.1,1.0,0.002418974058036567,0,1000,0.8898
11,centralized,1.0,10.0,0.024189740580365666,0,1000,0.9082
12,centralized,5.0,0.1,0.0002418974058036566,0,1000,0.9108
7,centralized,0.5,1.0,0.002418974058036567,0,1000,0.9125
2,centralized,0.05,10.0,0.024189740580365666,0,1000,0.9126
10,centralized,1.0,1.0,0.002418974058036567,0,1000,0.921
5,centralized,0.1,10.0,0.024189740580365666,0,1000,0.9219
8,centralized,0.5,10.0,0.024189740580365666,0,1000,0.9243
13,centralized,5.0,1.0,0.002418974058036567,0,1000,0.9297
