Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.1076
5,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.3846
10,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.5182
15,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.5925
20,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.6574
25,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.6759
30,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.6952
35,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7131
40,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7276
45,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7359
50,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.741
55,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7464
60,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7551
65,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7611
70,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7723
75,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7751
80,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7802
85,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7877
90,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7922
95,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7939
100,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.7982
105,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8003
110,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8073
115,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8122
120,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8105
125,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8107
130,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8118
135,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8115
140,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8169
145,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.82
150,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8191
155,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8191
160,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8228
165,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8214
170,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8225
175,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8169
180,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8108
185,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.818
190,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8194
195,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8157
200,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8208
205,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8263
210,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8305
215,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8265
220,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8294
225,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8268
230,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8294
235,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8307
240,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8315
245,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8332
250,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.832
255,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8293
260,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8298
265,grid,corr,1,1.0,0.035,0.0055090180360721,0.001,0.8298
