Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1076
5,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1077
10,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1077
15,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1077
20,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1077
25,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1077
30,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1076
35,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1077
40,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1077
45,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1078
50,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1078
55,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1078
60,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1079
65,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1079
70,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.108
75,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1081
80,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1081
85,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1083
90,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1085
95,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1085
100,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1085
105,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1085
110,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1085
115,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1085
120,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1088
125,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1089
130,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.109
135,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.109
140,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.109
145,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.109
150,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1091
155,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1093
160,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1093
165,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1093
170,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1093
175,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1094
180,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1094
185,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1094
190,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1094
195,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1095
200,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1095
205,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1095
210,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1097
215,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1097
220,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1097
225,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1097
230,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1097
235,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1098
240,grid,corr,0.005,0.01,5e-05,8.881763527054109e-05,0.1,0.1098
