Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.1076
5,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.7046
10,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8032
15,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8278
20,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8572
25,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.861
30,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8675
35,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8759
40,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8809
45,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.883
50,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8869
55,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8888
60,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8833
65,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8932
70,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8954
75,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8929
80,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8958
85,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8967
90,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.8983
95,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9017
100,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9007
105,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9034
110,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9027
115,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9059
120,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9059
125,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9077
130,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9073
135,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9077
140,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9095
145,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9105
150,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9123
155,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9124
160,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9127
165,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9142
170,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9134
175,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9135
180,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9139
185,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9145
190,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9148
195,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.916
200,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9164
205,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9167
210,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9172
215,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9179
220,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9183
225,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9183
230,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9181
235,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9188
240,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9181
245,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9189
250,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9192
255,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9201
260,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9188
265,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9202
270,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.92
275,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9196
280,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9213
285,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9218
290,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.921
295,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9169
300,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9215
305,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.923
310,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9216
315,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9229
320,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9231
325,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9231
330,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9231
335,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9238
340,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9241
345,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9235
350,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9245
355,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9248
360,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9242
365,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9253
370,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9259
375,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9254
380,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9252
385,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9248
390,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9243
395,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9254
400,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9265
405,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9258
410,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9262
415,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9255
420,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9246
425,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9248
430,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9256
435,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9253
440,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9263
445,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9257
450,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9276
455,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9267
460,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9274
465,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9271
470,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9264
475,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9268
480,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9274
485,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9272
490,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9277
495,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.928
500,grid,corr,0.5,5,0.0172727272727272,0.251748496993988,0.1,0.9277
