,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0008877551020408,0.0005563126252505,1000,0.6658
3,grid,0.1,0.1,0.0008877551020408,0.0005563126252505,1000,0.7086
14,grid,5.0,10.0,0.0887755102040816,0.0556312625250501,1000,0.846
11,grid,1.0,10.0,0.0887755102040816,0.0556312625250501,1000,0.8501
6,grid,0.5,0.1,0.0008877551020408,0.0005563126252505,1000,0.8538
8,grid,0.5,10.0,0.0887755102040816,0.0556312625250501,1000,0.8643
1,grid,0.05,1.0,0.0088775510204081,0.005563126252505,1000,0.8669
13,grid,5.0,1.0,0.0088775510204081,0.005563126252505,1000,0.8738
9,grid,1.0,0.1,0.0008877551020408,0.0005563126252505,1000,0.884
4,grid,0.1,1.0,0.0088775510204081,0.005563126252505,1000,0.8897
5,grid,0.1,10.0,0.0887755102040816,0.0556312625250501,1000,0.9064
12,grid,5.0,0.1,0.0008877551020408,0.0005563126252505,1000,0.9066
2,grid,0.05,10.0,0.0887755102040816,0.0556312625250501,1000,0.9075
7,grid,0.5,1.0,0.0088775510204081,0.005563126252505,1000,0.9081
10,grid,1.0,1.0,0.0088775510204081,0.005563126252505,1000,0.9105
