Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1076
5,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
10,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
15,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
20,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
25,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
30,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
35,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
40,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
45,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1077
50,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1078
55,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1078
60,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1079
65,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1079
70,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.108
75,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1081
80,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1081
85,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1082
90,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1085
95,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1085
100,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1085
105,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1085
110,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1085
115,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1085
120,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1088
125,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1089
130,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1089
135,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.109
140,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.109
145,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.109
150,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1091
155,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1092
160,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1092
165,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1092
170,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1094
175,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1094
180,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1094
185,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1094
190,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1094
195,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1095
200,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1095
205,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1096
210,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1097
215,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1097
220,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1097
225,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1097
230,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1098
235,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1098
240,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1098
245,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1099
250,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1099
255,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1101
260,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1103
265,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1104
270,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1105
275,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1105
280,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1106
285,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1107
290,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1108
295,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.111
300,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1112
305,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1112
310,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1112
315,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1112
320,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1112
325,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1112
330,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1113
335,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1113
340,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1115
345,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1116
350,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1117
355,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1118
360,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1119
365,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1119
370,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1119
375,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1119
380,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1119
385,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.112
390,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.112
395,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.112
400,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.112
405,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1121
410,grid,corr,0.005,0.01,0.0001,3.2545090180360725e-05,0.5,0.1121
