Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1076
5,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1077
10,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1078
15,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1079
20,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1078
25,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1079
30,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.108
35,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1082
40,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1085
45,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1085
50,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1085
55,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1089
60,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.109
65,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.109
70,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1093
75,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1093
80,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1093
85,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1093
90,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1093
95,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1096
100,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1097
105,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1097
110,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1098
115,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.11
120,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1102
125,grid,corr,0.01,0.01,7.777777777777778e-05,4.859719438877756e-05,0.5,0.1102
