Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.1076
5,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.5547
10,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.7704
15,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.7749
20,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8159
25,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8276
30,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8604
35,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8747
40,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8836
45,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8849
50,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.89
55,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8902
60,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.872
65,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8951
70,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.8977
75,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.898
80,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9008
85,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9041
90,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9045
95,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9057
100,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9051
105,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9105
110,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9045
115,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9113
120,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9115
125,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9139
130,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9118
135,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9152
140,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9175
145,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9153
150,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9173
155,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9182
160,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9165
165,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9178
170,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.917
175,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9182
180,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9176
185,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9202
190,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9191
195,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9213
200,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9217
205,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9231
210,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.923
215,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9231
220,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9234
225,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9236
230,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.924
235,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9245
240,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9252
245,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9247
250,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9251
255,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9245
260,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9231
265,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9241
270,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9263
275,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9259
280,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9253
285,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9271
290,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9252
295,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9257
300,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9266
305,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9277
310,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9277
315,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9277
320,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9278
325,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9288
330,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9286
335,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9288
340,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9292
345,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9289
350,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9277
355,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9275
360,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.928
365,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9277
370,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9281
375,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9283
380,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9281
385,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9272
390,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9279
395,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9299
400,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9297
405,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9296
410,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9288
415,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9302
420,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9291
425,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9281
430,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9283
435,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9285
440,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9293
445,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9283
450,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9297
455,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9303
460,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9302
465,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9289
470,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9297
475,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9321
480,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9325
485,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9313
490,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9314
495,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9321
500,grid,corr,1,5,0.015,0.1580310621242485,0.5,0.9325
