Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.1076
5,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.7217
10,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.811
15,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8273
20,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8548
25,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8603
30,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8729
35,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8786
40,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8814
45,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8845
50,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.888
55,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8899
60,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8882
65,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8948
70,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8959
75,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8946
80,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8991
85,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.8975
90,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9003
95,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9036
100,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9028
105,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9052
110,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9046
115,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9067
120,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9072
125,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9078
130,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.907
135,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9084
140,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9105
145,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9121
150,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9128
155,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9113
160,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9124
165,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.914
170,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9132
175,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.915
180,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.915
185,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9154
190,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9162
195,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9177
200,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9177
205,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9173
210,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9175
215,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.919
220,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9187
225,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.92
230,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9207
235,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9201
240,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.92
245,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9209
250,grid,corr,5,0.5,0.0014090909090909,0.0142079158316633,1,0.9206
