Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.1076
5,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.4865
10,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.5335
15,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.5617
20,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.5867
25,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6102
30,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6332
35,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6461
40,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6578
45,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6689
50,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6739
55,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6809
60,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6816
65,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6853
70,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6922
75,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6974
80,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.6997
85,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7034
90,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7055
95,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7117
100,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.721
105,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7251
110,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.731
115,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7357
120,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7383
125,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7428
130,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7451
135,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7505
140,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7537
145,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7568
150,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7632
155,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7693
160,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7763
165,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7797
170,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7819
175,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7844
180,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7855
185,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7903
190,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.791
195,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7907
200,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7939
205,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7981
210,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.7995
215,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8015
220,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8052
225,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8085
230,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8105
235,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8146
240,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8164
245,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8205
250,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8197
255,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8236
260,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8253
265,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8251
270,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8275
275,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8283
280,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.831
285,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8316
290,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8329
295,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8337
300,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.837
305,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8399
310,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8411
315,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8425
320,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8433
325,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8445
330,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.846
335,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8472
340,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8484
345,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8489
350,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8495
355,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8507
360,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8512
365,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8524
370,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.853
375,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8534
380,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8543
385,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8552
390,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8561
395,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8562
400,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8571
405,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.857
410,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8576
415,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8576
420,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8585
425,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8587
430,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.859
435,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8595
440,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8599
445,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8601
450,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8617
455,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8619
460,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8631
465,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8636
470,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8653
475,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8657
480,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8658
485,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8663
490,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8667
495,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8669
500,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8674
505,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8675
510,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8677
515,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8685
520,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8691
525,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.87
530,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8698
535,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8708
540,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.871
545,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8712
550,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.872
555,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8721
560,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8729
565,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8729
570,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.873
575,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8732
580,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8733
585,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8743
590,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8749
595,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8754
600,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8754
605,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8759
610,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8759
615,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8758
620,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8761
625,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8768
630,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8768
635,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8768
640,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8771
645,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8777
650,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8771
655,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.878
660,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8781
665,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8785
670,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8786
675,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8792
680,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8794
685,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.88
690,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8801
695,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8801
700,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8807
705,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8804
710,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8807
715,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8807
720,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8808
725,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8812
730,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8807
735,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8817
740,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8821
745,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8829
750,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8826
755,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8832
760,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8834
765,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8835
770,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8845
775,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8846
780,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8843
785,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8848
790,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8847
795,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8848
800,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8853
805,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8854
810,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.885
815,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8852
820,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8849
825,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8848
830,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8851
835,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8848
840,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.886
845,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.886
850,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8865
855,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8862
860,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.886
865,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8866
870,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8867
875,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8866
880,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8871
885,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8871
890,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8873
895,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8874
900,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8875
905,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8873
910,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8872
915,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8872
920,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8877
925,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8879
930,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.888
935,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8878
940,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8882
945,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8885
950,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8883
955,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8892
960,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.889
965,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8888
970,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8897
975,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8892
980,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8889
985,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.889
990,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8892
995,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8894
1000,grid,corr,0.1,1.0,0.0070612244897959,0.0011983967935871,10,0.8897
