Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.1076
5,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.5473
10,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.7408
15,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.7785
20,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.7763
25,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.7943
30,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8492
35,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8525
40,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.873
45,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8711
50,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8677
55,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8775
60,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.7938
65,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8799
70,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.878
75,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.882
80,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8831
85,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8887
90,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8887
95,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8832
100,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8905
105,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8952
110,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8828
115,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8979
120,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8991
125,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9008
130,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8974
135,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8996
140,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8981
145,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9002
150,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9023
155,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9033
160,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9016
165,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9003
170,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8992
175,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9042
180,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.8958
185,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9024
190,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9034
195,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9041
200,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9057
205,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9083
210,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9076
215,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9073
220,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.908
225,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9069
230,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9086
235,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9103
240,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9115
245,grid,corr,5,5,0.0122727272727272,0.1500551102204409,3,0.9075
