Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.1076
5,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.6792
10,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.7456
15,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.7792
20,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8003
25,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8161
30,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8332
35,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8393
40,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.848
45,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8512
50,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8554
55,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8608
60,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8655
65,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8666
70,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8688
75,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8733
80,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8743
85,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8776
90,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8781
95,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8814
100,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8819
105,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.883
110,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8824
115,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8857
120,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8864
125,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8844
130,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.886
135,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8876
140,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8889
145,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8893
150,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8886
155,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8912
160,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8901
165,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8905
170,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8917
175,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8921
180,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8925
185,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8934
190,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.893
195,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8939
200,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.894
205,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8944
210,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8959
215,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8963
220,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8968
225,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8972
230,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8984
235,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8979
240,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8972
245,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8976
250,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.898
255,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8978
260,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8988
265,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.8996
270,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.899
275,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9005
280,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9014
285,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9012
290,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9009
295,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9013
300,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9007
305,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9006
310,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9018
315,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9025
320,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9018
325,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9024
330,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9027
335,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9024
340,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.903
345,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9028
350,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9031
355,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9029
360,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9033
365,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9039
370,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9042
375,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9038
380,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9036
385,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9036
390,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9051
395,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9054
400,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9055
405,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9048
410,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9046
415,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9037
420,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9036
425,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9039
430,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.904
435,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9044
440,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9049
445,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9055
450,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.905
455,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9057
460,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9066
465,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9065
470,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9061
475,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.906
480,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.906
485,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.906
490,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9064
495,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9068
500,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9063
505,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.906
510,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9049
515,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.906
520,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9065
525,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9066
530,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9076
535,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9071
540,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9063
545,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9076
550,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9075
555,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9071
560,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9073
565,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9077
570,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.908
575,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9079
580,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9069
585,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9086
590,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9085
595,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9086
600,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9079
605,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9078
610,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9082
615,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.908
620,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9087
625,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9087
630,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9077
635,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9083
640,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9085
645,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.909
650,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9093
655,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9093
660,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9085
665,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9091
670,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.909
675,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9089
680,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9092
685,grid,corr,0.05,10,0.030204081632653,0.063567134268537,5,0.9092
