Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.1076
5,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.3601
10,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.415
15,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.4585
20,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.4911
25,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.5187
30,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.5464
35,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.565
40,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.5804
45,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.5964
50,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6072
55,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6185
60,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6217
65,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6286
70,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6389
75,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6445
80,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6475
85,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6532
90,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6567
95,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6608
100,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6672
105,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6707
110,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6727
115,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.676
120,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6763
125,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6792
130,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.68
135,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6834
140,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6855
145,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6873
150,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6907
155,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6927
160,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.6971
165,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7021
170,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.702
175,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7023
180,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.703
185,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.706
190,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7086
195,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7083
200,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7089
205,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7101
210,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.712
215,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7137
220,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7151
225,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7167
230,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7183
235,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.721
240,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7236
245,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7255
250,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7255
255,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7263
260,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7268
265,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7272
270,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7293
275,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7292
280,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7292
285,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7292
290,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7303
295,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7328
300,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.735
305,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7364
310,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7391
315,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7405
320,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7415
325,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7424
330,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7445
335,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7463
340,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.747
345,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7479
350,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7485
355,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7492
360,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7501
365,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7531
370,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7531
375,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7542
380,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7568
385,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7581
390,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7604
395,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7621
400,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7622
405,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7636
410,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7654
415,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7669
420,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7696
425,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7714
430,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7721
435,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7722
440,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7733
445,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7738
450,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7744
455,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7756
460,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7769
465,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7794
470,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7802
475,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.781
480,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7813
485,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7824
490,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7836
495,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7848
500,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7859
505,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.787
510,ring,corr,0.5,0.1,0.001,0.00047875751503,0.5,0.7871
