Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.1076
5,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.7253
10,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.7552
15,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.7773
20,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.7973
25,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8087
30,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8239
35,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8268
40,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8316
45,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8387
50,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8433
55,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8504
60,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8568
65,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8583
70,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8616
75,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8631
80,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8639
85,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8687
90,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8738
95,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.874
100,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8737
105,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8754
110,ring,corr,0.5,2,0.0060408163265306,0.1254248496993988,0.5,0.8779
