Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.1076
5,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.7116
10,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.7416
15,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.7577
20,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.7802
25,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.7909
30,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8081
35,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8143
40,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8207
45,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8311
50,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8369
55,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8442
60,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8497
65,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8511
70,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8563
75,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.859
80,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8603
85,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8634
90,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8701
95,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8706
100,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8696
105,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8731
110,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8758
115,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8772
120,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8787
125,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8817
130,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8807
135,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8817
140,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8853
145,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8848
150,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8874
155,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8858
160,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8871
165,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8886
170,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8879
175,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8895
180,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8912
185,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8911
190,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8913
195,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8921
200,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8928
205,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8935
210,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.893
215,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8941
220,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8954
225,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8931
230,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8953
235,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8961
240,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8957
245,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8952
250,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.896
255,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8965
260,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8965
265,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.897
270,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8979
275,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8982
280,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9005
285,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9
290,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9001
295,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.8966
300,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9013
305,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.901
310,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9002
315,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9002
320,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9004
325,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9013
330,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9012
335,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9017
340,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9024
345,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9023
350,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9029
355,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9037
360,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9036
365,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.904
370,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9026
375,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9043
380,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9045
385,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9049
390,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9048
395,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9053
400,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9058
405,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9054
410,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.906
415,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9053
420,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9062
425,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9051
430,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9061
435,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9049
440,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9064
445,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9066
450,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9061
455,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9063
460,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9073
465,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9067
470,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9069
475,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9068
480,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9078
485,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9078
490,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9072
495,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.9079
500,ring,corr,2,0.5,0.0015102040816326,0.0313562124248497,0.5,0.908
