Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.1076
5,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.6374
10,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.7649
15,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.7869
20,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.7901
25,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.7812
30,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.7986
35,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.7941
40,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.785
45,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.7984
50,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.802
55,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8025
60,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8076
65,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8059
70,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8104
75,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.809
80,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8074
85,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8147
90,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8282
95,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8245
100,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8313
105,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8332
110,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8344
115,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8326
120,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8407
125,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8444
130,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8345
135,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8406
140,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8451
145,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8412
150,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8461
155,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8455
160,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8441
165,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8448
170,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8465
175,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8495
180,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8493
185,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8528
190,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8519
195,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8514
200,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.859
205,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.857
210,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8603
215,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8562
220,ring,corr,2,2,0.0060408163265306,0.1254248496993988,0.5,0.8647
