,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.5,0.5,0.0015102040816326,0.0313562124248497,500,0.8933
1,ring,0.5,1.0,0.0030204081632653,0.0627124248496994,500,0.9046
2,ring,0.5,1.5,0.0045306122448979,0.0940686372745491,500,0.9062
3,ring,0.5,2.0,0.0060408163265306,0.1254248496993988,500,0.9095
4,ring,0.5,5.0,0.0151020408163265,0.313562124248497,500,0.9023
5,ring,1.0,0.5,0.0015102040816326,0.0313562124248497,500,0.9041
6,ring,1.0,1.0,0.0030204081632653,0.0627124248496994,500,0.9085
7,ring,1.0,1.5,0.0045306122448979,0.0940686372745491,500,0.9097
8,ring,1.0,2.0,0.0060408163265306,0.1254248496993988,500,0.9068
9,ring,1.0,5.0,0.0151020408163265,0.313562124248497,500,0.8843
10,ring,2.0,0.5,0.0015102040816326,0.0313562124248497,500,0.908
11,ring,2.0,1.0,0.0030204081632653,0.0627124248496994,500,0.9072
12,ring,2.0,1.5,0.0045306122448979,0.0940686372745491,500,0.9001
13,ring,2.0,2.0,0.0060408163265306,0.1254248496993988,500,0.894
14,ring,2.0,5.0,0.0151020408163265,0.313562124248497,500,0.8672
15,ring,5.0,0.5,0.0015102040816326,0.0313562124248497,500,0.9049
16,ring,5.0,1.0,0.0030204081632653,0.0627124248496994,500,0.8872
17,ring,5.0,1.5,0.0045306122448979,0.0940686372745491,500,0.8741
18,ring,5.0,2.0,0.0060408163265306,0.1254248496993988,500,0.8688
19,ring,5.0,5.0,0.0151020408163265,0.313562124248497,500,0.8589
