Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.1076
5,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.5783
10,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.6274
15,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.6496
20,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.6733
25,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.6794
30,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7007
35,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7076
40,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7175
45,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7305
50,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7415
55,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7531
60,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7665
65,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7683
70,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7737
75,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7817
80,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7833
85,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7926
90,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.7989
95,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8052
100,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.805
105,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8099
110,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8174
115,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.821
120,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8187
125,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8291
130,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8302
135,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8366
140,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8425
145,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8426
150,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8456
155,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8475
160,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8523
165,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8518
170,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8541
175,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8548
180,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8587
185,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8599
190,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8608
195,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8618
200,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8633
205,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8657
210,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8656
215,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8673
220,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8676
225,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8661
230,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8693
235,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8692
240,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8697
245,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8721
250,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8732
255,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8739
260,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8738
265,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8747
270,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8749
275,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8756
280,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8777
285,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8781
290,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8788
295,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8782
300,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8804
305,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8807
310,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8816
315,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8818
320,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8817
325,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8825
330,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8832
335,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8834
340,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8847
345,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8844
350,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8851
355,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8855
360,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8851
365,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8858
370,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8863
375,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8866
380,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8873
385,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8861
390,ring,corr,0.5,0.5,0.0014090909090909,0.0313562124248497,1,0.8871
