Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.1076
5,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.5807
10,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.7818
15,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.7861
20,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.7915
25,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.7927
30,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8025
35,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.801
40,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.7906
45,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8054
50,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.809
55,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8078
60,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8116
65,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8131
70,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8187
75,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8156
80,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8118
85,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8261
90,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8367
95,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8351
100,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.839
105,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8453
110,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.843
115,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8424
120,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8514
125,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8531
130,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8441
135,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8504
140,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.849
145,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8487
150,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.853
155,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8519
160,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8527
165,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.85
170,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8575
175,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8588
180,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8566
185,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.86
190,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8626
195,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8602
200,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8656
205,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8648
210,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8648
215,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8632
220,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8704
225,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8643
230,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.869
235,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8711
240,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8725
245,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8683
250,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8672
255,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8704
260,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8704
265,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8682
270,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8719
275,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8731
280,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8781
285,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8751
290,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8792
295,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8799
300,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8793
305,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8828
310,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.878
315,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8768
320,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8778
325,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.88
330,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8807
335,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8794
340,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8815
345,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8839
350,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8813
355,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8814
360,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8833
365,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8842
370,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8871
375,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8838
380,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.883
385,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8843
390,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8842
395,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8864
400,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8889
405,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8866
410,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.886
415,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8861
420,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8878
425,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8884
430,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8893
435,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8904
440,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8909
445,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8912
450,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.891
455,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8944
460,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.895
465,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8947
470,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8934
475,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8938
480,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8959
485,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8953
490,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8936
495,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8954
500,ring,corr,1,5,0.0141836734693877,0.2667034068136272,1,0.8957
