,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.5,0.5,0.0014183673469387,0.0266703406813627,500,0.8935
1,ring,0.5,1.0,0.0028367346938775,0.0533406813627254,500,0.9048
2,ring,0.5,1.5,0.0042551020408163,0.0800110220440881,500,0.9082
3,ring,0.5,2.0,0.0056734693877551,0.1066813627254509,500,0.9102
4,ring,0.5,5.0,0.0141836734693877,0.2667034068136272,500,0.9086
5,ring,1.0,0.5,0.0014183673469387,0.0266703406813627,500,0.904
6,ring,1.0,1.0,0.0028367346938775,0.0533406813627254,500,0.9102
7,ring,1.0,1.5,0.0042551020408163,0.0800110220440881,500,0.9134
8,ring,1.0,2.0,0.0056734693877551,0.1066813627254509,500,0.9121
9,ring,1.0,5.0,0.0141836734693877,0.2667034068136272,500,0.8957
10,ring,2.0,0.5,0.0014183673469387,0.0266703406813627,500,0.9097
11,ring,2.0,1.0,0.0028367346938775,0.0533406813627254,500,0.9122
12,ring,2.0,1.5,0.0042551020408163,0.0800110220440881,500,0.9075
13,ring,2.0,2.0,0.0056734693877551,0.1066813627254509,500,0.9033
14,ring,2.0,5.0,0.0141836734693877,0.2667034068136272,500,0.8785
15,ring,5.0,0.5,0.0014183673469387,0.0266703406813627,500,0.9113
16,ring,5.0,1.0,0.0028367346938775,0.0533406813627254,500,0.8998
17,ring,5.0,1.5,0.0042551020408163,0.0800110220440881,500,0.8873
18,ring,5.0,2.0,0.0056734693877551,0.1066813627254509,500,0.8801
19,ring,5.0,5.0,0.0141836734693877,0.2667034068136272,500,0.8687
