Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.1076
5,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.6788
10,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.7451
15,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.7794
20,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.7996
25,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8146
30,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8329
35,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8389
40,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8472
45,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8507
50,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.855
55,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8607
60,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8649
65,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8662
70,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8681
75,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8731
80,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.874
85,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.877
90,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8777
95,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8809
100,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8815
105,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8831
110,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8824
115,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8856
120,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8862
125,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8847
130,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8856
135,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8874
140,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.889
145,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8892
150,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8884
155,ring,corr,0.05,10,0.030204081632653,0.0688076152304609,15,0.8913
