Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.1076
5,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.623
10,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.6821
15,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.7009
20,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.7249
25,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.7439
30,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.7575
35,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.7686
40,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.7798
45,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.7859
50,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8016
55,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8107
60,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8175
65,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8203
70,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8246
75,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8335
80,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8401
85,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8485
90,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8505
95,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8547
100,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.86
105,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8602
110,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.862
115,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8647
120,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8663
125,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8668
130,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8692
135,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8697
140,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8723
145,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8736
150,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8756
155,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.877
160,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8788
165,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8796
170,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8798
175,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8823
180,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8827
185,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8833
190,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8833
195,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8838
200,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8852
205,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8861
210,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8868
215,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8867
220,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8876
225,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8887
230,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8885
235,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8888
240,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8889
245,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8908
250,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8898
255,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8906
260,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8904
265,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8911
270,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8921
275,ring,corr,5,0.1,0.0005,0.0008935871743486,3,0.8921
