,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,ring,0.05,0.1,0.000504081632653,0.0007348697394789,1000,0.6655
3,ring,0.1,0.1,0.000504081632653,0.0007348697394789,1000,0.709
6,ring,0.5,0.1,0.000504081632653,0.0007348697394789,1000,0.8542
1,ring,0.05,1.0,0.0050408163265306,0.0073486973947895,1000,0.8677
14,ring,5.0,10.0,0.0504081632653061,0.0734869739478957,1000,0.883
9,ring,1.0,0.1,0.000504081632653,0.0007348697394789,1000,0.8857
4,ring,0.1,1.0,0.0050408163265306,0.0073486973947895,1000,0.8896
11,ring,1.0,10.0,0.0504081632653061,0.0734869739478957,1000,0.8902
8,ring,0.5,10.0,0.0504081632653061,0.0734869739478957,1000,0.9039
12,ring,5.0,0.1,0.000504081632653,0.0007348697394789,1000,0.9086
7,ring,0.5,1.0,0.0050408163265306,0.0073486973947895,1000,0.9105
2,ring,0.05,10.0,0.0504081632653061,0.0734869739478957,1000,0.911
13,ring,5.0,1.0,0.0050408163265306,0.0073486973947895,1000,0.911
10,ring,1.0,1.0,0.0050408163265306,0.0073486973947895,1000,0.9174
5,ring,0.1,10.0,0.0504081632653061,0.0734869739478957,1000,0.9183
