Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1076
5,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1281
10,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1343
15,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1411
20,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1457
25,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1509
30,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1575
35,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1642
40,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1698
45,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.176
50,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.182
55,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1892
60,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.1972
65,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.205
70,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2111
75,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.219
80,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2267
85,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2353
90,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2429
95,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2511
100,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2598
105,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2669
110,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.275
115,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2837
120,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.2928
125,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3009
130,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3076
135,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3143
140,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3218
145,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3291
150,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3361
155,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3422
160,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3481
165,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3542
170,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3606
175,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3673
180,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.372
185,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3776
190,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3842
195,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3889
200,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.3944
205,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.398
210,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4042
215,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4093
220,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4146
225,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4208
230,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4257
235,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4305
240,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4345
245,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4405
250,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.445
255,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4502
260,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4543
265,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.459
270,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4635
275,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4678
280,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4723
285,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4767
290,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4804
295,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4839
300,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4875
305,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4908
310,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4936
315,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.4966
320,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5005
325,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5047
330,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5079
335,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5113
340,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5142
345,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5169
350,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5194
355,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5222
360,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5243
365,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5274
370,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5305
375,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5324
380,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5349
385,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5385
390,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5402
395,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5422
400,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5446
405,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5469
410,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5493
415,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5509
420,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5538
425,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5563
430,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5588
435,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.56
440,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5622
445,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5644
450,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.566
455,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5689
460,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5712
465,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5731
470,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5754
475,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5765
480,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5783
485,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5791
490,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5811
495,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5825
500,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.584
505,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5865
510,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.588
515,centralized,ldp,0.05,0.1,0.0013566372108610118,0,0.1,0.5894
