Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.1076
5,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.4616
10,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.5181
15,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.5512
20,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.5757
25,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6033
30,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6273
35,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6405
40,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6531
45,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6658
50,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6702
55,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6782
60,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6773
65,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6845
70,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6905
75,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6927
80,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.6967
85,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7013
90,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7028
95,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7071
100,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7148
105,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7182
110,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7198
115,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7238
120,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7232
125,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.725
130,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7239
135,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7278
140,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7298
145,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7333
150,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7382
155,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7415
160,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7487
165,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.753
170,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7522
175,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7522
180,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7549
185,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7577
190,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7601
195,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.76
200,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7617
205,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7692
210,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.77
215,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7717
220,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7751
225,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7786
230,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7834
235,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7859
240,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7898
245,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7915
250,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7903
255,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7937
260,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7942
265,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7945
270,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7966
275,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.797
280,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7975
285,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7973
290,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7991
295,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.7998
300,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8038
305,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.806
310,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8077
315,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8095
320,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.809
325,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8128
330,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8159
335,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.817
340,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8175
345,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8177
350,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8197
355,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8212
360,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8235
365,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8239
370,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8248
375,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8259
380,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8282
385,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8293
390,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8317
395,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8329
400,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8331
405,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8338
410,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8347
415,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8357
420,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8381
425,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8389
430,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8407
435,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8395
440,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8414
445,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.842
450,centralized,ldp,1,0.1,0.0013566372108610118,0,0.1,0.8419
