,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,centralized,0.05,0.1,0.0013566372108610118,0,1000,0.6657
3,centralized,0.1,0.1,0.0013566372108610118,0,1000,0.7091
14,centralized,5.0,10.0,0.13566372108610117,0,1000,0.8248
11,centralized,1.0,10.0,0.13566372108610117,0,1000,0.8295
8,centralized,0.5,10.0,0.13566372108610117,0,1000,0.8382
13,centralized,5.0,1.0,0.013566372108610112,0,1000,0.8448
6,centralized,0.5,0.1,0.0013566372108610118,0,1000,0.8537
1,centralized,0.05,1.0,0.013566372108610112,0,1000,0.8669
9,centralized,1.0,0.1,0.0013566372108610118,0,1000,0.8836
4,centralized,0.1,1.0,0.013566372108610112,0,1000,0.8887
5,centralized,0.1,10.0,0.13566372108610117,0,1000,0.8953
10,centralized,1.0,1.0,0.013566372108610112,0,1000,0.9016
2,centralized,0.05,10.0,0.13566372108610117,0,1000,0.9017
7,centralized,0.5,1.0,0.013566372108610112,0,1000,0.9033
12,centralized,5.0,0.1,0.0013566372108610118,0,1000,0.9045
