Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.1076
5,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.6439
10,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.7271
15,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.7606
20,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.7841
25,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.7991
30,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.817
35,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8228
40,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8352
45,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8399
50,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8441
55,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8511
60,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8565
65,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8585
70,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8598
75,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.865
80,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8646
85,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8697
90,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8715
95,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8759
100,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8753
105,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8761
110,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8769
115,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8786
120,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8794
125,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8789
130,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8797
135,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8823
140,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8827
145,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8832
150,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8846
155,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8855
160,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8868
165,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8874
170,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.888
175,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8873
180,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8863
185,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.887
190,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8876
195,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8882
200,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8894
205,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8881
210,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8902
215,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8898
220,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.889
225,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8899
230,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8895
235,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8911
240,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8911
245,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8927
250,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8908
255,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8913
260,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8915
265,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8915
270,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.892
275,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8935
280,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8924
285,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8926
290,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8947
295,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8948
300,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8934
305,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8934
310,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8938
315,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8948
320,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8953
325,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.896
330,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8965
335,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8978
340,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.897
345,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8969
350,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8979
355,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8977
360,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8986
365,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8989
370,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8984
375,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8991
380,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8978
385,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8985
390,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8985
395,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8975
400,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8984
405,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8972
410,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8979
415,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8971
420,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8967
425,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8984
430,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8979
435,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8984
440,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8987
445,centralized,ldp,0.05,10,0.11749353712852312,0,0.5,0.8995
