Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.1076
5,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.6149
10,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.6822
15,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.7013
20,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.7251
25,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.7454
30,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.7577
35,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.7692
40,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.7812
45,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.785
50,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8011
55,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8091
60,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8165
65,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8198
70,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8236
75,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8334
80,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8402
85,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.849
90,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8494
95,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8542
100,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8594
105,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8598
110,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8607
115,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8653
120,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8669
125,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8656
130,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8676
135,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8692
140,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8722
145,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.873
150,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8754
155,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8772
160,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.878
165,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.879
170,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8791
175,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8817
180,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8823
185,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8839
190,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.884
195,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8838
200,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8841
205,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8862
210,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8867
215,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8865
220,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8884
225,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.888
230,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8881
235,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8889
240,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8893
245,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8902
250,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8891
255,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.889
260,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8895
265,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8906
270,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.891
275,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8916
280,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8914
285,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8918
290,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8929
295,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8935
300,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.893
305,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8937
310,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.893
315,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8939
320,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8945
325,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8948
330,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8949
335,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8948
340,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8956
345,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8956
350,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8957
355,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8949
360,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8961
365,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8956
370,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8964
375,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8973
380,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8969
385,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8975
390,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8978
395,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8978
400,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8973
405,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8974
410,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8982
415,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8978
420,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8979
425,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8982
430,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8978
435,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8996
440,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8995
445,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8992
450,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8999
455,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8993
460,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8998
465,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8998
470,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8988
475,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.8999
480,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9005
485,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9005
490,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9006
495,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9004
500,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9008
505,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9006
510,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.901
515,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.901
520,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9003
525,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9013
530,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9016
535,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9018
540,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9018
545,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9021
550,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9018
555,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9011
560,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.901
565,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9021
570,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9024
575,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9033
580,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9023
585,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9031
590,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9026
595,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9032
600,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9027
605,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9031
610,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9036
615,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9027
620,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9037
625,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9048
630,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9034
635,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9041
640,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9046
645,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9035
650,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.903
655,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9043
660,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.904
665,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9049
670,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9039
675,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9047
680,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9052
685,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9036
690,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9049
695,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9047
700,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9048
705,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9044
710,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9049
715,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9045
720,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9048
725,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9047
730,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9045
735,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9054
740,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.9058
745,centralized,ldp,5,0.1,0.0007113482477885399,0,10,0.905
