Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,5,10,0.071134824778854,0,10,0.1076
5,centralized,ldp,5,10,0.071134824778854,0,10,0.4919
10,centralized,ldp,5,10,0.071134824778854,0,10,0.6624
15,centralized,ldp,5,10,0.071134824778854,0,10,0.7202
20,centralized,ldp,5,10,0.071134824778854,0,10,0.7526
25,centralized,ldp,5,10,0.071134824778854,0,10,0.7951
30,centralized,ldp,5,10,0.071134824778854,0,10,0.7759
35,centralized,ldp,5,10,0.071134824778854,0,10,0.7857
40,centralized,ldp,5,10,0.071134824778854,0,10,0.7968
45,centralized,ldp,5,10,0.071134824778854,0,10,0.7941
50,centralized,ldp,5,10,0.071134824778854,0,10,0.7695
55,centralized,ldp,5,10,0.071134824778854,0,10,0.7904
60,centralized,ldp,5,10,0.071134824778854,0,10,0.8067
65,centralized,ldp,5,10,0.071134824778854,0,10,0.8186
70,centralized,ldp,5,10,0.071134824778854,0,10,0.8123
75,centralized,ldp,5,10,0.071134824778854,0,10,0.8217
80,centralized,ldp,5,10,0.071134824778854,0,10,0.8198
85,centralized,ldp,5,10,0.071134824778854,0,10,0.8292
90,centralized,ldp,5,10,0.071134824778854,0,10,0.8258
95,centralized,ldp,5,10,0.071134824778854,0,10,0.8273
100,centralized,ldp,5,10,0.071134824778854,0,10,0.8327
105,centralized,ldp,5,10,0.071134824778854,0,10,0.8241
110,centralized,ldp,5,10,0.071134824778854,0,10,0.8039
115,centralized,ldp,5,10,0.071134824778854,0,10,0.8314
120,centralized,ldp,5,10,0.071134824778854,0,10,0.828
125,centralized,ldp,5,10,0.071134824778854,0,10,0.8263
130,centralized,ldp,5,10,0.071134824778854,0,10,0.8332
135,centralized,ldp,5,10,0.071134824778854,0,10,0.8262
140,centralized,ldp,5,10,0.071134824778854,0,10,0.8326
145,centralized,ldp,5,10,0.071134824778854,0,10,0.8287
150,centralized,ldp,5,10,0.071134824778854,0,10,0.8283
155,centralized,ldp,5,10,0.071134824778854,0,10,0.8232
160,centralized,ldp,5,10,0.071134824778854,0,10,0.8343
165,centralized,ldp,5,10,0.071134824778854,0,10,0.827
170,centralized,ldp,5,10,0.071134824778854,0,10,0.8258
175,centralized,ldp,5,10,0.071134824778854,0,10,0.8263
180,centralized,ldp,5,10,0.071134824778854,0,10,0.8302
185,centralized,ldp,5,10,0.071134824778854,0,10,0.8278
190,centralized,ldp,5,10,0.071134824778854,0,10,0.8314
195,centralized,ldp,5,10,0.071134824778854,0,10,0.8234
200,centralized,ldp,5,10,0.071134824778854,0,10,0.8413
205,centralized,ldp,5,10,0.071134824778854,0,10,0.8321
210,centralized,ldp,5,10,0.071134824778854,0,10,0.8334
215,centralized,ldp,5,10,0.071134824778854,0,10,0.8294
220,centralized,ldp,5,10,0.071134824778854,0,10,0.8404
225,centralized,ldp,5,10,0.071134824778854,0,10,0.8286
230,centralized,ldp,5,10,0.071134824778854,0,10,0.8368
235,centralized,ldp,5,10,0.071134824778854,0,10,0.8368
240,centralized,ldp,5,10,0.071134824778854,0,10,0.8463
245,centralized,ldp,5,10,0.071134824778854,0,10,0.8403
250,centralized,ldp,5,10,0.071134824778854,0,10,0.8423
255,centralized,ldp,5,10,0.071134824778854,0,10,0.8424
260,centralized,ldp,5,10,0.071134824778854,0,10,0.8383
265,centralized,ldp,5,10,0.071134824778854,0,10,0.8365
270,centralized,ldp,5,10,0.071134824778854,0,10,0.8319
275,centralized,ldp,5,10,0.071134824778854,0,10,0.8324
280,centralized,ldp,5,10,0.071134824778854,0,10,0.8284
285,centralized,ldp,5,10,0.071134824778854,0,10,0.8288
290,centralized,ldp,5,10,0.071134824778854,0,10,0.8248
295,centralized,ldp,5,10,0.071134824778854,0,10,0.8332
300,centralized,ldp,5,10,0.071134824778854,0,10,0.8119
305,centralized,ldp,5,10,0.071134824778854,0,10,0.83
310,centralized,ldp,5,10,0.071134824778854,0,10,0.8267
315,centralized,ldp,5,10,0.071134824778854,0,10,0.8433
320,centralized,ldp,5,10,0.071134824778854,0,10,0.8401
325,centralized,ldp,5,10,0.071134824778854,0,10,0.8389
330,centralized,ldp,5,10,0.071134824778854,0,10,0.8392
335,centralized,ldp,5,10,0.071134824778854,0,10,0.8375
340,centralized,ldp,5,10,0.071134824778854,0,10,0.8373
345,centralized,ldp,5,10,0.071134824778854,0,10,0.8202
350,centralized,ldp,5,10,0.071134824778854,0,10,0.8225
355,centralized,ldp,5,10,0.071134824778854,0,10,0.8452
360,centralized,ldp,5,10,0.071134824778854,0,10,0.838
365,centralized,ldp,5,10,0.071134824778854,0,10,0.8336
370,centralized,ldp,5,10,0.071134824778854,0,10,0.8337
375,centralized,ldp,5,10,0.071134824778854,0,10,0.8358
380,centralized,ldp,5,10,0.071134824778854,0,10,0.8302
385,centralized,ldp,5,10,0.071134824778854,0,10,0.8342
390,centralized,ldp,5,10,0.071134824778854,0,10,0.8314
395,centralized,ldp,5,10,0.071134824778854,0,10,0.8336
400,centralized,ldp,5,10,0.071134824778854,0,10,0.8383
405,centralized,ldp,5,10,0.071134824778854,0,10,0.8275
410,centralized,ldp,5,10,0.071134824778854,0,10,0.8334
415,centralized,ldp,5,10,0.071134824778854,0,10,0.8265
420,centralized,ldp,5,10,0.071134824778854,0,10,0.8327
425,centralized,ldp,5,10,0.071134824778854,0,10,0.8341
430,centralized,ldp,5,10,0.071134824778854,0,10,0.8238
435,centralized,ldp,5,10,0.071134824778854,0,10,0.8353
440,centralized,ldp,5,10,0.071134824778854,0,10,0.8297
445,centralized,ldp,5,10,0.071134824778854,0,10,0.8332
450,centralized,ldp,5,10,0.071134824778854,0,10,0.8392
455,centralized,ldp,5,10,0.071134824778854,0,10,0.8258
460,centralized,ldp,5,10,0.071134824778854,0,10,0.8386
465,centralized,ldp,5,10,0.071134824778854,0,10,0.841
470,centralized,ldp,5,10,0.071134824778854,0,10,0.836
475,centralized,ldp,5,10,0.071134824778854,0,10,0.8373
480,centralized,ldp,5,10,0.071134824778854,0,10,0.8409
485,centralized,ldp,5,10,0.071134824778854,0,10,0.8418
490,centralized,ldp,5,10,0.071134824778854,0,10,0.8419
495,centralized,ldp,5,10,0.071134824778854,0,10,0.8398
500,centralized,ldp,5,10,0.071134824778854,0,10,0.8401
505,centralized,ldp,5,10,0.071134824778854,0,10,0.8374
510,centralized,ldp,5,10,0.071134824778854,0,10,0.8402
515,centralized,ldp,5,10,0.071134824778854,0,10,0.8445
520,centralized,ldp,5,10,0.071134824778854,0,10,0.8445
525,centralized,ldp,5,10,0.071134824778854,0,10,0.8407
530,centralized,ldp,5,10,0.071134824778854,0,10,0.8381
535,centralized,ldp,5,10,0.071134824778854,0,10,0.8417
540,centralized,ldp,5,10,0.071134824778854,0,10,0.8431
545,centralized,ldp,5,10,0.071134824778854,0,10,0.8445
550,centralized,ldp,5,10,0.071134824778854,0,10,0.8451
555,centralized,ldp,5,10,0.071134824778854,0,10,0.8451
560,centralized,ldp,5,10,0.071134824778854,0,10,0.8465
565,centralized,ldp,5,10,0.071134824778854,0,10,0.8433
570,centralized,ldp,5,10,0.071134824778854,0,10,0.8437
575,centralized,ldp,5,10,0.071134824778854,0,10,0.8426
580,centralized,ldp,5,10,0.071134824778854,0,10,0.841
585,centralized,ldp,5,10,0.071134824778854,0,10,0.8366
590,centralized,ldp,5,10,0.071134824778854,0,10,0.8359
595,centralized,ldp,5,10,0.071134824778854,0,10,0.8354
600,centralized,ldp,5,10,0.071134824778854,0,10,0.8301
605,centralized,ldp,5,10,0.071134824778854,0,10,0.8374
610,centralized,ldp,5,10,0.071134824778854,0,10,0.8374
615,centralized,ldp,5,10,0.071134824778854,0,10,0.8375
620,centralized,ldp,5,10,0.071134824778854,0,10,0.8402
625,centralized,ldp,5,10,0.071134824778854,0,10,0.837
630,centralized,ldp,5,10,0.071134824778854,0,10,0.8372
635,centralized,ldp,5,10,0.071134824778854,0,10,0.8399
640,centralized,ldp,5,10,0.071134824778854,0,10,0.8359
645,centralized,ldp,5,10,0.071134824778854,0,10,0.8409
650,centralized,ldp,5,10,0.071134824778854,0,10,0.8348
655,centralized,ldp,5,10,0.071134824778854,0,10,0.8363
660,centralized,ldp,5,10,0.071134824778854,0,10,0.8413
665,centralized,ldp,5,10,0.071134824778854,0,10,0.8386
670,centralized,ldp,5,10,0.071134824778854,0,10,0.8384
675,centralized,ldp,5,10,0.071134824778854,0,10,0.8435
680,centralized,ldp,5,10,0.071134824778854,0,10,0.8445
685,centralized,ldp,5,10,0.071134824778854,0,10,0.845
690,centralized,ldp,5,10,0.071134824778854,0,10,0.8447
695,centralized,ldp,5,10,0.071134824778854,0,10,0.8519
700,centralized,ldp,5,10,0.071134824778854,0,10,0.8506
705,centralized,ldp,5,10,0.071134824778854,0,10,0.8408
710,centralized,ldp,5,10,0.071134824778854,0,10,0.8427
715,centralized,ldp,5,10,0.071134824778854,0,10,0.8467
720,centralized,ldp,5,10,0.071134824778854,0,10,0.846
725,centralized,ldp,5,10,0.071134824778854,0,10,0.8415
730,centralized,ldp,5,10,0.071134824778854,0,10,0.8445
735,centralized,ldp,5,10,0.071134824778854,0,10,0.8459
740,centralized,ldp,5,10,0.071134824778854,0,10,0.8425
745,centralized,ldp,5,10,0.071134824778854,0,10,0.8497
750,centralized,ldp,5,10,0.071134824778854,0,10,0.8485
755,centralized,ldp,5,10,0.071134824778854,0,10,0.8453
760,centralized,ldp,5,10,0.071134824778854,0,10,0.8456
765,centralized,ldp,5,10,0.071134824778854,0,10,0.8498
770,centralized,ldp,5,10,0.071134824778854,0,10,0.8508
775,centralized,ldp,5,10,0.071134824778854,0,10,0.8508
780,centralized,ldp,5,10,0.071134824778854,0,10,0.8512
785,centralized,ldp,5,10,0.071134824778854,0,10,0.854
790,centralized,ldp,5,10,0.071134824778854,0,10,0.8585
795,centralized,ldp,5,10,0.071134824778854,0,10,0.8577
800,centralized,ldp,5,10,0.071134824778854,0,10,0.856
805,centralized,ldp,5,10,0.071134824778854,0,10,0.8558
810,centralized,ldp,5,10,0.071134824778854,0,10,0.8458
815,centralized,ldp,5,10,0.071134824778854,0,10,0.8544
820,centralized,ldp,5,10,0.071134824778854,0,10,0.8496
825,centralized,ldp,5,10,0.071134824778854,0,10,0.8465
830,centralized,ldp,5,10,0.071134824778854,0,10,0.847
835,centralized,ldp,5,10,0.071134824778854,0,10,0.8489
840,centralized,ldp,5,10,0.071134824778854,0,10,0.8468
845,centralized,ldp,5,10,0.071134824778854,0,10,0.8493
850,centralized,ldp,5,10,0.071134824778854,0,10,0.8476
855,centralized,ldp,5,10,0.071134824778854,0,10,0.8485
860,centralized,ldp,5,10,0.071134824778854,0,10,0.8483
865,centralized,ldp,5,10,0.071134824778854,0,10,0.85
870,centralized,ldp,5,10,0.071134824778854,0,10,0.8531
875,centralized,ldp,5,10,0.071134824778854,0,10,0.8518
880,centralized,ldp,5,10,0.071134824778854,0,10,0.8497
885,centralized,ldp,5,10,0.071134824778854,0,10,0.8519
890,centralized,ldp,5,10,0.071134824778854,0,10,0.8546
895,centralized,ldp,5,10,0.071134824778854,0,10,0.8525
900,centralized,ldp,5,10,0.071134824778854,0,10,0.849
905,centralized,ldp,5,10,0.071134824778854,0,10,0.8478
910,centralized,ldp,5,10,0.071134824778854,0,10,0.8552
915,centralized,ldp,5,10,0.071134824778854,0,10,0.8477
920,centralized,ldp,5,10,0.071134824778854,0,10,0.848
925,centralized,ldp,5,10,0.071134824778854,0,10,0.851
930,centralized,ldp,5,10,0.071134824778854,0,10,0.8485
935,centralized,ldp,5,10,0.071134824778854,0,10,0.8485
940,centralized,ldp,5,10,0.071134824778854,0,10,0.8486
945,centralized,ldp,5,10,0.071134824778854,0,10,0.8475
950,centralized,ldp,5,10,0.071134824778854,0,10,0.8465
955,centralized,ldp,5,10,0.071134824778854,0,10,0.8433
960,centralized,ldp,5,10,0.071134824778854,0,10,0.8451
965,centralized,ldp,5,10,0.071134824778854,0,10,0.8445
970,centralized,ldp,5,10,0.071134824778854,0,10,0.8468
975,centralized,ldp,5,10,0.071134824778854,0,10,0.845
980,centralized,ldp,5,10,0.071134824778854,0,10,0.8462
985,centralized,ldp,5,10,0.071134824778854,0,10,0.8498
990,centralized,ldp,5,10,0.071134824778854,0,10,0.8495
