Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.1076
5,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.6185
10,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.6868
15,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.7185
20,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.7527
25,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.7718
30,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.7854
35,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.7974
40,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8083
45,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8152
50,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8305
55,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8408
60,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8457
65,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8476
70,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8505
75,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8573
80,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8562
85,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8628
90,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8629
95,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8683
100,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8695
105,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8721
110,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8727
115,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8767
120,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8772
125,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8775
130,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8783
135,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8812
140,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8829
145,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8835
150,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8858
155,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8861
160,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8871
165,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8877
170,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8878
175,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8884
180,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8886
185,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8879
190,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8881
195,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8895
200,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8894
205,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8898
210,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8903
215,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8909
220,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8916
225,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8917
230,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8921
235,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8921
240,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8923
245,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8926
250,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8929
255,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8923
260,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8925
265,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8945
270,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8942
275,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8955
280,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8955
285,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8959
290,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8964
295,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8962
300,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8963
305,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8961
310,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8966
315,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8978
320,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8976
325,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8981
330,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8974
335,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8978
340,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8989
345,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8991
350,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8976
355,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8986
360,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8994
365,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8987
370,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8993
375,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8996
380,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8989
385,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8986
390,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9002
395,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9012
400,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9006
405,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.8995
410,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9018
415,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9009
420,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9005
425,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9018
430,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9009
435,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9025
440,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9022
445,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9022
450,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9031
455,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9026
460,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9029
465,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9031
470,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9027
475,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9029
480,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9022
485,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9031
490,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9037
495,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9034
500,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9031
505,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9037
510,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.903
515,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9039
520,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9041
525,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9044
530,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9051
535,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9053
540,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9048
545,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.905
550,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.905
555,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9047
560,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9038
565,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9049
570,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.905
575,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9044
580,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9052
585,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9063
590,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.906
595,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9059
600,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9052
605,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9059
610,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9057
615,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9052
620,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9056
625,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9063
630,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9055
635,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.906
640,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9051
645,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.905
650,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9053
655,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9063
660,centralized,ldp,0.5,1.0,0.006533041342077664,0,15,0.9056
