Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.1076
5,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.5684
10,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.6938
15,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.7316
20,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.7693
25,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8194
30,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8288
35,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.836
40,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8395
45,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8281
50,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8482
55,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8429
60,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8585
65,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8638
70,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8588
75,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8695
80,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.874
85,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8677
90,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8761
95,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8784
100,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8744
105,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8715
110,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8714
115,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8663
120,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8762
125,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8795
130,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8808
135,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8806
140,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8782
145,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.878
150,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8774
155,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8785
160,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8797
165,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8776
170,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8741
175,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8776
180,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8792
185,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8787
190,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.88
195,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8769
200,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8859
205,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8824
210,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8818
215,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.883
220,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8843
225,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8819
230,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.886
235,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8868
240,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8867
245,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8816
250,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8869
255,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8838
260,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.88
265,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8785
270,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8773
275,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8827
280,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8779
285,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8789
290,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8783
295,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.883
300,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8773
305,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8833
310,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8786
315,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8838
320,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8869
325,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8877
330,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8844
335,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8849
340,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.885
345,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8853
350,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8835
355,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8875
360,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8848
365,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8849
370,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8826
375,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8856
380,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8818
385,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8842
390,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.884
395,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8842
400,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8859
405,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8823
410,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8819
415,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8824
420,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8781
425,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8829
430,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8802
435,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8808
440,centralized,ldp,0.5,10,0.06533041342077664,0,15,0.8786
