Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.1076
5,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.4797
10,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.642
15,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.681
20,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7203
25,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.734
30,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7393
35,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7647
40,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7687
45,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7773
50,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7717
55,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7785
60,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7815
65,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7893
70,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7967
75,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.7982
80,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8034
85,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8068
90,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8069
95,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8137
100,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8118
105,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.814
110,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.819
115,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8161
120,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8138
125,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8151
130,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8216
135,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8169
140,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8158
145,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8259
150,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8202
155,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8214
160,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8239
165,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8207
170,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8198
175,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8159
180,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8105
185,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8147
190,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8199
195,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8215
200,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8263
205,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8294
210,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.832
215,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8296
220,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8341
225,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.824
230,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8305
235,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8299
240,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8331
245,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8328
250,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8358
255,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8337
260,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8343
265,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8296
270,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8281
275,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8276
280,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8256
285,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8265
290,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8228
295,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8285
300,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8266
305,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8246
310,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8202
315,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8304
320,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8312
325,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8326
330,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8318
335,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8336
340,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8351
345,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8288
350,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8287
355,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.833
360,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8324
365,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8326
370,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8277
375,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8334
380,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8322
385,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8339
390,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8292
395,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8306
400,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8342
405,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8258
410,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8286
415,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8256
420,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8235
425,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8228
430,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8226
435,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8221
440,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8214
445,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8279
450,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8255
455,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8245
460,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8244
465,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8259
470,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.83
475,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8284
480,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8313
485,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8325
490,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8334
495,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8338
500,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8287
505,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.83
510,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8326
515,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8339
520,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8359
525,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8321
530,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8353
535,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8346
540,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8343
545,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8363
550,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8424
555,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8413
560,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8421
565,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8375
570,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8382
575,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8343
580,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8347
585,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8307
590,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8337
595,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8354
600,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8328
605,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.831
610,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8339
615,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8317
620,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8318
625,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8321
630,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8334
635,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8321
640,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8291
645,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8286
650,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.831
655,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8313
660,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8324
665,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8328
670,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8332
675,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8348
680,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8345
685,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8367
690,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8398
695,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8394
700,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8377
705,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8341
710,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8362
715,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.839
720,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.835
725,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8295
730,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8317
735,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8332
740,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.832
745,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8357
750,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.836
755,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8357
760,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8349
765,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8383
770,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8398
775,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8408
780,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8418
785,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8408
790,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.841
795,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8444
800,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8451
805,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8433
810,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8415
815,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8421
820,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8394
825,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8321
830,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8338
835,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8352
840,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.833
845,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8364
850,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8329
855,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8353
860,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8377
865,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8408
870,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8407
875,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8386
880,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8354
885,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8388
890,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8424
895,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8419
900,grid,ldp,0.5,10,0.13594541711587949,0,0.1,0.8439
