Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,5,10,0.13594541711587949,0,0.1,0.1076
5,grid,ldp,5,10,0.13594541711587949,0,0.1,0.3778
10,grid,ldp,5,10,0.13594541711587949,0,0.1,0.6005
15,grid,ldp,5,10,0.13594541711587949,0,0.1,0.641
20,grid,ldp,5,10,0.13594541711587949,0,0.1,0.6961
25,grid,ldp,5,10,0.13594541711587949,0,0.1,0.6959
30,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7115
35,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7325
40,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7386
45,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7482
50,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7386
55,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7481
60,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7545
65,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7587
70,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7708
75,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7691
80,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7738
85,grid,ldp,5,10,0.13594541711587949,0,0.1,0.78
90,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7763
95,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7911
100,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7874
105,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7877
110,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7933
115,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7944
120,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7884
125,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7908
130,grid,ldp,5,10,0.13594541711587949,0,0.1,0.8003
135,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7871
140,grid,ldp,5,10,0.13594541711587949,0,0.1,0.79
145,grid,ldp,5,10,0.13594541711587949,0,0.1,0.8027
150,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7959
155,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7947
160,grid,ldp,5,10,0.13594541711587949,0,0.1,0.8033
165,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7965
170,grid,ldp,5,10,0.13594541711587949,0,0.1,0.797
175,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7939
180,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7851
185,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7908
190,grid,ldp,5,10,0.13594541711587949,0,0.1,0.7994
