,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.001359454171158795,0,1000,0.6657
3,grid,0.1,0.1,0.001359454171158795,0,1000,0.7092
14,grid,5.0,10.0,0.13594541711587949,0,1000,0.8299
11,grid,1.0,10.0,0.13594541711587949,0,1000,0.835
8,grid,0.5,10.0,0.13594541711587949,0,1000,0.8417
13,grid,5.0,1.0,0.013594541711587952,0,1000,0.8467
6,grid,0.5,0.1,0.001359454171158795,0,1000,0.8535
1,grid,0.05,1.0,0.013594541711587952,0,1000,0.867
9,grid,1.0,0.1,0.001359454171158795,0,1000,0.8835
4,grid,0.1,1.0,0.013594541711587952,0,1000,0.8888
5,grid,0.1,10.0,0.13594541711587949,0,1000,0.895
10,grid,1.0,1.0,0.013594541711587952,0,1000,0.9018
2,grid,0.05,10.0,0.13594541711587949,0,1000,0.902
7,grid,0.5,1.0,0.013594541711587952,0,1000,0.903
12,grid,5.0,0.1,0.001359454171158795,0,1000,0.9041
