Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.1076
5,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.469
10,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.5229
15,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.554
20,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.5788
25,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6056
30,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6302
35,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6424
40,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6543
45,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.666
50,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.671
55,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6782
60,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6796
65,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6859
70,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6908
75,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6948
80,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.6977
85,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7016
90,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7047
95,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7113
100,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7207
105,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7244
110,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7298
115,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7352
120,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7388
125,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7425
130,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7439
135,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7497
140,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7535
145,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7558
150,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7634
155,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7689
160,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7767
165,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.779
170,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7811
175,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7833
180,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7847
185,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7897
190,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7912
195,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7908
200,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7924
205,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7981
210,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.7989
215,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8011
220,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8042
225,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8067
230,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.81
235,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8121
240,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8169
245,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8187
250,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8186
255,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8228
260,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8237
265,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8234
270,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8266
275,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8274
280,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.829
285,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8295
290,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.831
295,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8324
300,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8361
305,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8386
310,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8398
315,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8415
320,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8421
325,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8441
330,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8447
335,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8463
340,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.847
345,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8488
350,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8487
355,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8497
360,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8504
365,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.852
370,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8525
375,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8528
380,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8544
385,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8545
390,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8557
395,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8555
400,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8564
405,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8562
410,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8569
415,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8572
420,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8575
425,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8582
430,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8583
435,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8594
440,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8596
445,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8601
450,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8602
455,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8612
460,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8619
465,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8623
470,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8635
475,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8642
480,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8641
485,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8649
490,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8655
495,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8654
500,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8669
505,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8676
510,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8672
515,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8677
520,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8688
525,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8698
530,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8701
535,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8713
540,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8716
545,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8718
550,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.872
555,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.873
560,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8733
565,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8727
570,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8732
575,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8739
580,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8737
585,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8739
590,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8745
595,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8753
600,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8751
605,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8753
610,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8755
615,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8757
620,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.876
625,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8765
630,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8761
635,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8765
640,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.877
645,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8771
650,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8766
655,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8771
660,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8779
665,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8777
670,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8778
675,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8786
680,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.879
685,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8789
690,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8796
695,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8793
700,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8801
705,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8798
710,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8796
715,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.881
720,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8809
725,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8809
730,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8807
735,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8822
740,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8825
745,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8826
750,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8828
755,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8833
760,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8831
765,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8836
770,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.884
775,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8847
780,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8842
785,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8843
790,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8839
795,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8839
800,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8849
805,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8846
810,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.885
815,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8853
820,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8848
825,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.885
830,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8854
835,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8849
840,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8859
845,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8854
850,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8857
855,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8859
860,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.886
865,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8863
870,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8863
875,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8857
880,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8869
885,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8873
890,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8867
895,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8866
900,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8871
905,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.887
910,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8865
915,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8868
920,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8865
925,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8871
930,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8875
935,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8878
940,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8878
945,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8879
950,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8881
955,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8887
960,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8888
965,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8889
970,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8895
975,grid,ldp,0.1,1.0,0.011794195966646302,0,0.5,0.8889
