Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.1076
5,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.5988
10,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.672
15,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.6958
20,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.7234
25,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.7416
30,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.7568
35,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.766
40,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.7778
45,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.7819
50,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.797
55,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.806
60,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8131
65,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8147
70,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.82
75,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8307
80,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8341
85,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8446
90,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8448
95,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8525
100,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8574
105,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8568
110,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8587
115,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8611
120,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8644
125,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8626
130,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.865
135,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8664
140,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8697
145,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8711
150,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8723
155,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8744
160,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8758
165,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8758
170,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.878
175,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8797
180,grid,ldp,5,0.1,0.00117941959666463,0,0.5,0.8804
