Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.1076
5,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.3572
10,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.4141
15,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.4572
20,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.4904
25,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.5182
30,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.5452
35,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.5645
40,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.579
45,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.5953
50,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6063
55,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6175
60,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6218
65,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.628
70,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6385
75,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6443
80,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6475
85,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6528
90,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6564
95,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6604
100,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6666
105,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6703
110,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6722
115,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6757
120,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.676
125,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6795
130,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6801
135,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6831
140,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.685
145,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6873
150,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6912
155,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6923
160,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.6972
165,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7022
170,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7019
175,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7025
180,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7023
185,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7062
190,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7083
195,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7087
200,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.709
205,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7107
210,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7117
215,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7139
220,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7152
225,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7163
230,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7183
235,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7207
240,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7232
245,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7258
250,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7252
255,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7265
260,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7272
265,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7272
270,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7299
275,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7296
280,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7291
285,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7292
290,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.73
295,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7328
300,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7351
305,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7371
310,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.739
315,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7403
320,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7415
325,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7427
330,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7446
335,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7464
340,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7469
345,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7483
350,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7488
355,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7489
360,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.75
365,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7528
370,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7528
375,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7545
380,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7569
385,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7581
390,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.76
395,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7618
400,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7622
405,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7635
410,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7655
415,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7668
420,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7698
425,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7711
430,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7723
435,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7719
440,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7734
445,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7737
450,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7741
455,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7754
460,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.777
465,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7793
470,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7805
475,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7813
480,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7815
485,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7823
490,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7833
495,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7849
500,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7859
505,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7865
510,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7873
515,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7893
520,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7901
525,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7919
530,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7918
535,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7945
540,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7946
545,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7961
550,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7981
555,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7976
560,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7981
565,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7999
570,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.7988
575,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8003
580,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8009
585,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8051
590,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.803
595,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.804
600,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.805
605,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8042
610,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8045
615,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8061
620,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8076
625,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8095
630,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8101
635,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8114
640,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8113
645,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.813
650,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8142
655,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8135
660,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8138
665,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8136
670,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.815
675,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8152
680,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8163
685,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8173
690,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8189
695,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8201
700,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8209
705,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8215
710,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8232
715,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8229
720,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8228
725,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8244
730,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8248
735,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8256
740,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8259
745,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8273
750,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8273
755,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.828
760,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8292
765,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8301
770,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8306
775,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8312
780,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8323
785,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8329
790,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8333
795,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8345
800,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8347
805,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.835
810,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8354
815,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8359
820,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.836
825,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8365
830,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8361
835,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8368
840,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.838
845,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.839
850,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.84
855,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8403
860,grid,ldp,0.5,0.1,0.0010998174679018528,0,1,0.8418
