Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.1076
5,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.472
10,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.5247
15,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.5551
20,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.5799
25,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6066
30,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6308
35,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6426
40,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6548
45,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6668
50,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6714
55,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6787
60,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6807
65,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6862
70,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6909
75,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6947
80,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.6974
85,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7012
90,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7034
95,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7072
100,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7148
105,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7186
110,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7204
115,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7237
120,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7226
125,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7243
130,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7232
135,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7269
140,grid,ldp,1,0.1,0.0010998174679018528,0,1,0.7297
