,topology,lr,clip,sigma,sigma-cor,T,accuracy
0,grid,0.05,0.1,0.0006399195328153057,0,1000,0.6655
3,grid,0.1,0.1,0.0006399195328153057,0,1000,0.709
6,grid,0.5,0.1,0.0006399195328153057,0,1000,0.854
14,grid,5.0,10.0,0.06399195328153057,0,1000,0.8571
1,grid,0.05,1.0,0.006399195328153057,0,1000,0.8676
11,grid,1.0,10.0,0.06399195328153057,0,1000,0.8677
8,grid,0.5,10.0,0.06399195328153057,0,1000,0.8802
9,grid,1.0,0.1,0.0006399195328153057,0,1000,0.8851
4,grid,0.1,1.0,0.006399195328153057,0,1000,0.8897
13,grid,5.0,1.0,0.006399195328153057,0,1000,0.891
12,grid,5.0,0.1,0.0006399195328153057,0,1000,0.908
7,grid,0.5,1.0,0.006399195328153057,0,1000,0.9093
2,grid,0.05,10.0,0.06399195328153057,0,1000,0.9096
5,grid,0.1,10.0,0.06399195328153057,0,1000,0.9154
10,grid,1.0,1.0,0.006399195328153057,0,1000,0.9155
