Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,0.5,10,0.09589256130564035,0,3,0.1076
5,grid,ldp,0.5,10,0.09589256130564035,0,3,0.5892
10,grid,ldp,0.5,10,0.09589256130564035,0,3,0.6883
15,grid,ldp,0.5,10,0.09589256130564035,0,3,0.7149
20,grid,ldp,0.5,10,0.09589256130564035,0,3,0.7665
25,grid,ldp,0.5,10,0.09589256130564035,0,3,0.7912
30,grid,ldp,0.5,10,0.09589256130564035,0,3,0.789
35,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8106
40,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8131
45,grid,ldp,0.5,10,0.09589256130564035,0,3,0.816
50,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8151
55,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8152
60,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8236
65,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8315
70,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8335
75,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8371
80,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8395
85,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8454
90,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8423
95,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8483
100,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8493
105,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8461
110,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8513
115,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8476
120,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8504
125,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8464
130,grid,ldp,0.5,10,0.09589256130564035,0,3,0.854
135,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8491
140,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8471
145,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8514
150,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8522
155,grid,ldp,0.5,10,0.09589256130564035,0,3,0.851
160,grid,ldp,0.5,10,0.09589256130564035,0,3,0.854
165,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8503
170,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8537
175,grid,ldp,0.5,10,0.09589256130564035,0,3,0.85
180,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8483
185,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8476
190,grid,ldp,0.5,10,0.09589256130564035,0,3,0.847
195,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8533
200,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8584
205,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8577
210,grid,ldp,0.5,10,0.09589256130564035,0,3,0.859
215,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8584
220,grid,ldp,0.5,10,0.09589256130564035,0,3,0.862
225,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8526
230,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8594
235,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8575
240,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8614
245,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8607
250,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8607
255,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8598
260,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8595
265,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8581
270,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8522
275,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8537
280,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8512
285,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8546
290,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8517
295,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8588
300,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8561
305,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8541
310,grid,ldp,0.5,10,0.09589256130564035,0,3,0.85
315,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8584
320,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8601
325,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8595
330,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8584
335,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8597
340,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8604
345,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8587
350,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8555
355,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8632
360,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8591
365,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8609
370,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8529
375,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8613
380,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8573
385,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8585
390,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8561
395,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8573
400,grid,ldp,0.5,10,0.09589256130564035,0,3,0.8575
