Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,grid,ldp,5,10,0.09589256130564035,0,3,0.1076
5,grid,ldp,5,10,0.09589256130564035,0,3,0.4389
10,grid,ldp,5,10,0.09589256130564035,0,3,0.6472
15,grid,ldp,5,10,0.09589256130564035,0,3,0.7124
20,grid,ldp,5,10,0.09589256130564035,0,3,0.7475
25,grid,ldp,5,10,0.09589256130564035,0,3,0.7508
30,grid,ldp,5,10,0.09589256130564035,0,3,0.7605
35,grid,ldp,5,10,0.09589256130564035,0,3,0.7759
40,grid,ldp,5,10,0.09589256130564035,0,3,0.7813
45,grid,ldp,5,10,0.09589256130564035,0,3,0.7837
50,grid,ldp,5,10,0.09589256130564035,0,3,0.7765
55,grid,ldp,5,10,0.09589256130564035,0,3,0.7807
60,grid,ldp,5,10,0.09589256130564035,0,3,0.7842
65,grid,ldp,5,10,0.09589256130564035,0,3,0.7956
70,grid,ldp,5,10,0.09589256130564035,0,3,0.8011
75,grid,ldp,5,10,0.09589256130564035,0,3,0.7985
80,grid,ldp,5,10,0.09589256130564035,0,3,0.8058
85,grid,ldp,5,10,0.09589256130564035,0,3,0.8139
90,grid,ldp,5,10,0.09589256130564035,0,3,0.8126
95,grid,ldp,5,10,0.09589256130564035,0,3,0.8182
100,grid,ldp,5,10,0.09589256130564035,0,3,0.819
105,grid,ldp,5,10,0.09589256130564035,0,3,0.8132
110,grid,ldp,5,10,0.09589256130564035,0,3,0.8198
115,grid,ldp,5,10,0.09589256130564035,0,3,0.8145
120,grid,ldp,5,10,0.09589256130564035,0,3,0.8049
125,grid,ldp,5,10,0.09589256130564035,0,3,0.8154
130,grid,ldp,5,10,0.09589256130564035,0,3,0.8279
135,grid,ldp,5,10,0.09589256130564035,0,3,0.8068
140,grid,ldp,5,10,0.09589256130564035,0,3,0.818
145,grid,ldp,5,10,0.09589256130564035,0,3,0.8296
150,grid,ldp,5,10,0.09589256130564035,0,3,0.8195
