Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.1076
5,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.1531
10,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.1651
15,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.1779
20,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.1904
25,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.2045
30,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.2187
35,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.2368
40,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.2507
45,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.2681
50,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.2838
55,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.299
60,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.314
65,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.3284
70,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.3413
75,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.3538
80,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.3649
85,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.3764
90,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.3872
95,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.397
100,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4091
105,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4195
110,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4287
115,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4402
120,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4484
125,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4579
130,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4669
135,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4733
140,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4801
145,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4872
150,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.4952
155,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.502
160,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5086
165,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5161
170,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5223
175,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5275
180,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5333
185,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5376
190,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5425
195,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5462
200,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5484
205,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5529
210,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5576
215,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5633
220,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5683
225,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.572
230,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5756
235,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5791
240,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5813
245,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5849
250,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5871
255,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5906
260,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5938
265,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.596
270,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.5991
275,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6025
280,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6032
285,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6045
290,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6065
295,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6088
300,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6111
305,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6126
310,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6142
315,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6158
320,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6178
325,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6195
330,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.622
335,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6243
340,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6258
345,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.627
350,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6288
355,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6309
360,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6328
365,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6342
370,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6351
375,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6359
380,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6372
385,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6391
390,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6402
395,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.641
400,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6424
405,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6431
410,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6448
415,ring,ldp,0.1,0.1,0.0013180694180849912,0,0.1,0.6456
