Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.1076
5,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.6888
10,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.7517
15,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.7772
20,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.7997
25,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8152
30,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.829
35,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8368
40,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8462
45,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8481
50,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8537
55,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8566
60,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8613
65,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8623
70,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8661
75,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8688
80,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8671
85,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8711
90,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8727
95,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8744
100,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8737
105,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8791
110,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8795
115,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8822
120,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8822
125,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8808
130,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8812
135,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8829
140,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8816
145,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8839
150,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8829
155,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8835
160,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8851
165,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8856
170,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8874
175,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8853
180,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8843
185,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8861
190,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8848
195,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8872
200,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8874
205,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8868
210,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.889
215,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8877
220,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8892
225,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8891
230,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8916
235,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.889
240,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8897
245,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8899
250,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8906
255,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8883
260,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8907
265,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8914
270,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8915
275,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8923
280,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8897
285,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8916
290,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8922
295,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8909
300,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8912
305,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8918
310,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8902
315,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8934
320,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8931
325,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8929
330,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8942
335,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8947
340,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.896
345,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8961
350,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8955
355,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8958
360,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8948
365,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8961
370,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8952
375,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8959
380,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8948
385,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8957
390,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8944
395,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8956
400,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8955
405,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8931
410,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8941
415,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8938
420,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8958
425,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8955
430,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8955
435,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8948
440,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8932
445,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8952
450,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8943
455,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8951
460,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8959
465,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8933
470,ring,ldp,0.1,10,0.13180694180849914,0,0.1,0.8968
