Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.1076
5,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.5892
10,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.6698
15,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.6943
20,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.7221
25,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.7385
30,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.754
35,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.7624
40,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.7767
45,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.7799
50,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.7958
55,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8021
60,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8099
65,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8132
70,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8167
75,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8273
80,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8326
85,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8416
90,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.843
95,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8498
100,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.855
105,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.856
110,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.858
115,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8598
120,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.863
125,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8619
130,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8639
135,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8654
140,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8688
145,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8694
150,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.871
155,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8738
160,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8745
165,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8749
170,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.876
175,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8774
180,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8785
185,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8805
190,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.88
195,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8798
200,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8808
205,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8818
210,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8829
215,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.883
220,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.884
225,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8835
230,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8835
235,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8846
240,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8835
245,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8852
250,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8851
255,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8847
260,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8858
265,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8883
270,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8875
275,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8891
280,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8866
285,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8875
290,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8898
295,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8905
300,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8907
305,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8907
310,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8908
315,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8921
320,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8907
325,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8915
330,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.893
335,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8924
340,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.893
345,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8919
350,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8925
355,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8933
360,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8932
365,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8935
370,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8925
375,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8942
380,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8945
385,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.894
390,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8943
395,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8945
400,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8938
405,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8937
410,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.895
415,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8941
420,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8944
425,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8962
430,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8943
435,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8967
440,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8974
445,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8976
450,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8963
455,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8974
460,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8967
465,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8956
470,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8971
475,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8985
480,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8981
485,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8978
490,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8984
495,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8982
500,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8981
505,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8983
510,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8997
515,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8984
520,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.8983
525,ring,ldp,5,0.1,0.0013180694180849912,0,0.1,0.9003
