Step,topology,method,lr,clip,sigma,sigma-cor,epsilon,accuracy
0,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.1076
5,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.6135
10,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.6863
15,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.7169
20,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.7502
25,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.7697
30,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.7854
35,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.795
40,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8063
45,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8134
50,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8284
55,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8387
60,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8446
65,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.846
70,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8487
75,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8554
80,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8552
85,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.862
90,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8615
95,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8676
100,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8689
105,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8714
110,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8715
115,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8759
120,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8767
125,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8761
130,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8775
135,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.88
140,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8824
145,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8826
150,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8851
155,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8857
160,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8863
165,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8867
170,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8875
175,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8888
180,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8881
185,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8881
190,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8883
195,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.89
200,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8889
205,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8893
210,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8897
215,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.89
220,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8912
225,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8915
230,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8919
235,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8922
240,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8918
245,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8927
250,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8924
255,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8919
260,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.892
265,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8938
270,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8939
275,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8941
280,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.894
285,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8954
290,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8953
295,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8956
300,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8962
305,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8957
310,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8956
315,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8972
320,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8969
325,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8973
330,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8971
335,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8969
340,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8985
345,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8985
350,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8973
355,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8992
360,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8993
365,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8988
370,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8982
375,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8989
380,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8986
385,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8981
390,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.8998
395,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.9007
400,ring,ldp,0.5,1.0,0.0073746637781855135,0,10,0.9007
